© 2000-2021 QIAGEN. All rights reserved.

Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	p-value of overlap	B-H corrected p-value	Target Molecules in Dataset	Mechanistic Network
POR	0.969	enzyme	Activated	2.331	5.17E-27	8.15E-24	ACADL,ACAT2,ACLY,Acot1,ADH4,Akr1c14,Aldh1a7,APOA4,AQP8,ATF5,CPT1A,CYB5B,CYP1A1,CYP1A2,CYP2C18,CYP2C8,CYP4A11,CYP7A1,DHCR7,EHHADH,ELOVL2,ELOVL5,ETHE1,FABP2,FDPS,GADD45B,Gstm6,HADHB,HSD17B11,HSD3B1,Hsd3b4 (includes others),HSPH1,LSS,POR,RETSAT,SC5D,SLC22A5,VNN1	 
PPARA	 	ligand-dependent nuclear receptor	Activated	4.328	1.14E-21	9.00E-19	ABCB11,ABCB4,ABCG8,ACAA1,Acaa1b,ACADL,ACAT2,Acot1,ACOT2,Acot5,APOA4,AQP8,CHRNA2,CPT1A,CYB5B,CYP2C8,CYP4A11,Cyp4a14,CYP7A1,DECR1,DHCR7,ECH1,EHHADH,ELOVL5,ETHE1,FABP2,FDPS,G0S2,GSTT2/GSTT2B,HADHB,HSD17B11,HSD3B1,IL1B,LAMB3,LSS,MGLL,PLIN4,POR,PPA1,PPARGC1A,RETSAT,SC5D,SELENBP1,SLC25A20,SLC27A1,VNN1	 
SLC27A2	 	transporter	Inhibited	-3.960	2.14E-16	1.12E-13	ACAA1,Acaa1b,ACADL,ACOT1,Acot1,CRAT,CYP4A11,Cyp4a14,DECR1,EHHADH,ELOVL5,HADHB,PEX16,RETSAT,SLC25A20,SLC27A1	 
RORA	 	ligand-dependent nuclear receptor	 	 	1.60E-12	6.29E-10	ACOT2,Aox3,APOA4,AQP8,ATP1B1,Cyp2c70,CYP2C8,CYP4A11,Cyp4a14,GADD45B,GSTM2,HPGD,HSD3B1,Hsd3b4 (includes others),IL18,IL1B,Keg1,NR1D1,POR,SDR9C7,SELENBP1,SLC41A2	 
ACOX1	 	enzyme	Inhibited	-4.131	2.58E-12	8.11E-10	ACAA1,ACADL,ACOT2,ADAMTS1,AKR1C4,CRAT,CYP1A2,CYP2C8,CYP4A11,Cyp4a14,CYP4F12,DDIT3,EHHADH,HSD3B1,IMPACT,LHPP,MGLL,RBM3,SELENBP1,SLC20A1,SLC22A25	57 (2)
RORC	 	ligand-dependent nuclear receptor	 	 	5.38E-12	1.41E-09	ACOT2,Aox3,APOA4,AQP8,ATP1B1,Cyp2c70,CYP2C8,CYP4A11,Cyp4a14,GADD45B,GSTM2,HPGD,HSD3B1,Hsd3b4 (includes others),IL1B,Keg1,POR,SDR9C7,SELENBP1,SLC41A2	 
LEP	 	growth factor	 	0.717	2.96E-10	6.67E-08	ABCB11,ACADL,ACLY,APOA4,CPT1A,CYP2C18,Cyp2c70,CYP2C8,CYP4A11,Cyp4a14,CYP7A1,ECH1,EHHADH,ELOVL5,EPHX2,FGFR2,GCLC,IL1B,LEPR,OPLAH,PPARGC1A,SC5D,SERPINE1,SLC27A1,SOCS3	 
PPARG	 	ligand-dependent nuclear receptor	 	1.789	1.10E-09	2.16E-07	ABCA3,Abcb1b,ACAA1,Acaa1b,ACADL,ARL4D,CIDEC,CRAT,CYP4A11,Cyp4a14,CYP4B1,DHRS3,EHHADH,FDPS,HES1,IL1B,LAMB3,LHPP,MGLL,NOS3,NR4A1,PLIN4,PPARGC1A,PTPRF,SERPINE1,TBCC,TUBB,VNN1	 
CFTR	 	ion channel	 	1.246	7.06E-09	1.23E-06	ACAA1,Acaa1b,CYP4A11,DMBT1,EPHX2,FABP2,FDPS,HPGD,HSD17B11,IL1B,NFKBIZ,POR,SOCS3	 
HNF4A	 	transcription regulator	Inhibited	-2.216	1.71E-08	2.63E-06	ABCB11,ACOT1,Acot1,ACSS2,AQP8,CIDEC,CPT1A,CYP1A1,CYP7A1,EFNA1,FABP2,FMO2,GADD45B,Hsd3b4 (includes others),HSPA8,IMPA1,LEPR,OCLN,POR,RNF152,SH3PXD2A,SRSF3,SYNPO,TFRC,TOX	 
SCAP	 	other	Inhibited	-2.397	1.84E-08	2.63E-06	ABCA3,ACLY,ACSS2,ATF5,DDIT3,DHCR7,EHHADH,FDPS,Gstm6,HES6,LSS,RDH11,SC5D	 
GPD1	 	enzyme	 	 	9.84E-08	1.29E-05	ACLY,ACOT2,Aox3,APOA4,C11orf86,Clec2e/Clec2h,CYP2C8,F11,HAO1,Hsd3b4 (includes others),NUDT7,SUCNR1,UGT2B17	 
