© 2000-2021 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Role of PKR in Interferon Induction and Antiviral Response	9.66E00	2.68E-01	2.268	ATF3,DDX58,EIF2AK2,EIF2S1,ELP1,FOS,HSP90B1,HSPA4,HSPA5,IFIH1,IKBKE,IL1B,IRF1,IRF9,MAP2K3,MARCO,MSR1,MYD88,NFKB2,NFKBIA,NFKBIB,NFKBIE,NLRP12,RELB,STAT1,STAT2,STAT3,TAB2,TIRAP,TNF,TNFRSF1A,TP53,TRAF3	
Activation of IRF by Cytosolic Pattern Recognition Receptors	9.65E00	3.89E-01	2.236	ADAR,DDX58,DHX58,ELP1,IFIH1,IFIT2,IKBKE,IRF9,ISG15,NFKB2,NFKBIA,NFKBIB,NFKBIE,RELB,RIPK1,STAT1,STAT2,TANK,TNF,TRAF3,ZBP1	
Unfolded protein response	7.26E00	2.7E-01	2.840	ATF4,ATF6,CEBPA,CEBPB,CEBPD,CEBPG,CEBPZ,DNAJB11,DNAJB5,DNAJB9,DNAJC11,DNAJC12,DNAJC17,DNAJC5,EIF2AK3,HSP90B1,HSPA4,HSPA5,HSPH1,SCAP,SREBF1,SYVN1,UBXN4,XBP1	
tRNA Charging	6.29E00	3.68E-01	3.742	AARS1,FARSA,FARSB,HARS1,IARS1,KARS1,LARS1,MARS2,NARS1,Qars,RARS1,RARS2,WARS1,YARS1	
Small Cell Lung Cancer Signaling	6.07E00	2.42E-01	1.890	AKT1,BIRC2,CCND1,CCND2,CCNE1,CDK2,CKS1B,E2F2,E2F4,HDAC11,HDAC5,IKBKE,MYC,NFKB2,NFKBIA,NFKBIB,NFKBIE,PA2G4,RBL2,RELB,TFDP1,TP53,TRAF3	
Cell Cycle: G1/S Checkpoint Regulation	5.79E00	2.77E-01	-1.291	CCND1,CCND2,CCNE1,CDC25A,CDC34,CDK2,CDKN1A,E2F2,E2F4,FOXO1,GNL3,HDAC11,HDAC5,MYC,PA2G4,RBL2,TFDP1,TP53	
Ferroptosis Signaling Pathway	5.57E00	2.11E-01	1.569	ABCA1,ANGPTL4,Arf2,ARF4,ATF4,CDKN1A,EIF2AK3,G3BP1,GCLC,H2AX,HMGCR,HMOX1,PRKAB1,RALB,RASD1,RBL2,SAT1,SLC11A2,SLC39A14,SLC39A8,SLC7A11,STAT3,STEAP3,TFRC,TP53,TXNRD1	
Prostate Cancer Signaling	5.37E00	2.16E-01	NaN	AKT1,ATF4,CCND1,CCNE1,CDK2,CDKN1A,CREB3,E2F2,E2F4,FOXO1,HDAC11,HDAC5,HSP90B1,NFKB2,NFKBIA,NFKBIB,NFKBIE,PA2G4,RALB,RASD1,RBL2,RELB,TFDP1,TP53	
Role of RIG1-like Receptors in Antiviral Innate Immunity	5.1E00	3.43E-01	2.121	DDX58,DHX58,IFIH1,IKBKE,NFKB2,NFKBIA,NFKBIB,NFKBIE,RELB,RIPK1,TANK,TRAF3	
IL-9 Signaling	5.1E00	3.43E-01	-0.632	BCL3,CISH,IRS1,IRS2,NFKB2,RELB,SOCS3,STAT1,STAT3,STAT5A,STAT5B,TNF	
