© 2000-2021 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Superpathway of Cholesterol Biosynthesis	1.39E01	6.43E-01	-2.828	ACAT1,ACAT2,CYP51A1,DHCR7,FDFT1,FDPS,HADHA,HADHB,HMGCS1,IDI1,LBR,LSS,MSMO1,MVK,NSDHL,PMVK,SC5D,TM7SF2	
NRF2-mediated Oxidative Stress Response	1.24E01	2.24E-01	0.535	ACTG1,AOX1,CCT7,CDC34,CLPP,CYP1A1,CYP1A2,CYP2C18,Cyp2c23,Cyp2c40 (includes others),Cyp2c54 (includes others),Cyp2c70,CYP2C8,Cyp2d9 (includes others),Cyp2g1,CYP2R1,Cyp3a25 (includes others),CYP4A11,Cyp4a14,DNAJA1,DNAJB1,DNAJB2,DNAJC11,DNAJC17,FKBP5,GCLC,GSTA3,GSTA5,GSTM1,GSTM2,Gstm3,GSTM5,Gstm6,GSTT2/GSTT2B,HACD3,HMOX1,HSP90AA1,HSP90AB1,HSPB8,JUNB,MAFG,NQO2,NRAS,PIK3R1,PRKCD,PRKD3,RAP2A,RBX1,STIP1	
Aryl Hydrocarbon Receptor Signaling	8.56E00	2.23E-01	0.277	ATM,CDK2,CDKN1A,CYP1A1,CYP1A2,CYP2C18,Cyp2c23,Cyp2c40 (includes others),Cyp2c54 (includes others),Cyp2c70,CYP2C8,Cyp3a25 (includes others),DCT,DHFR,GSTA3,GSTA5,GSTM1,GSTM2,Gstm3,GSTM5,Gstm6,GSTT2/GSTT2B,HSP90AA1,HSP90AB1,HSPB1,IL1A,IL1B,MED1,MYC,NQO2,RXRG,TNF,TRIP11	
BAG2 Signaling Pathway	8.27E00	2.84E-01	1.414	CASP3,CDKN1A,HSP90AA1,HSPA1A/HSPA1B,Hspa1b,HSPA4,HSPA8,MYC,PSMA7,PSMB10,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMD1,PSMD12,PSMD13,PSMD3,PSMD4,PSMD6,PSMD7,PSMD9	
Protein Ubiquitination Pathway	7.93E00	1.74E-01	NaN	CDC34,DNAJA1,DNAJB1,DNAJB2,DNAJC11,DNAJC17,DNAJC2,FZR1,HSP90AA1,HSP90AB1,HSPA1A/HSPA1B,HSPA4,HSPA4L,HSPA8,HSPB1,HSPB8,HSPD1,HSPE1,HSPH1,MR1,PSMA7,PSMB10,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMD1,PSMD12,PSMD13,PSMD3,PSMD4,PSMD6,PSMD7,PSMD9,RBX1,SMURF1,UBE2F,UBE2G2,UBE2H,UBE2O,USP16,USP2,USP27X,USP33,USP36	
Polyamine Regulation in Colon Cancer	7.8E00	3.17E-01	NaN	AZIN1,MAX,MYC,ODC1,PSMA7,PSMB10,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMD1,PSMD12,PSMD13,PSMD3,PSMD4,PSMD6,PSMD7,PSMD9	
Cholesterol Biosynthesis I	7.61E00	6.92E-01	-3.000	CYP51A1,DHCR7,FDFT1,LBR,LSS,MSMO1,NSDHL,SC5D,TM7SF2	
Cholesterol Biosynthesis II (via 24,25-dihydrolanosterol)	7.61E00	6.92E-01	-3.000	CYP51A1,DHCR7,FDFT1,LBR,LSS,MSMO1,NSDHL,SC5D,TM7SF2	
Cholesterol Biosynthesis III (via Desmosterol)	7.61E00	6.92E-01	-3.000	CYP51A1,DHCR7,FDFT1,LBR,LSS,MSMO1,NSDHL,SC5D,TM7SF2	
Superpathway of Geranylgeranyldiphosphate Biosynthesis I (via Mevalonate)	7.42E00	5.88E-01	-0.632	ACAT1,ACAT2,COX10,FDPS,HADHA,HADHB,HMGCS1,IDI1,MVK,PMVK	
