© 2000-2021 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Acute Phase Response Signaling	1.58E01	1.16E-01	-0.577	AHSG,ALB,AMBP,APOA1,APOA2,C9,FGA,FGG,HMOX1,HPX,ITIH4,NFKBIA,RBP7,SERPINA1,SERPINA3,SERPINF2,SOCS1,SOCS2,SOCS3,TTR	
FXR/RXR Activation	1.4E01	1.39E-01	NaN	A1BG,AHSG,ALB,AMBP,APOA1,APOA2,C9,FGA,HPX,ITIH4,KNG1,SERPINA1,SERPINF2,SLC27A5,SLCO1B3,TTR	
LXR/RXR Activation	1.16E01	1.25E-01	3.207	A1BG,AHSG,ALB,AMBP,APOA1,APOA2,C9,FGA,HPX,ITIH4,KNG1,SERPINA1,SERPINF2,TTR	
Coagulation System	7.54E00	2E-01	0.378	F3,FGA,FGG,KNG1,PLAU,SERPINA1,SERPINF2	
Atherosclerosis Signaling	5.86E00	7.76E-02	NaN	ALB,APOA1,APOA2,CSF1,F3,PDGFA,PDGFB,SERPINA1,TNFRSF12A	
Extrinsic Prothrombin Activation Pathway	3.39E00	1.88E-01	NaN	F3,FGA,FGG	
Role of Tissue Factor in Cancer	3.2E00	5.36E-02	NaN	BCL2L1,CCN2,CSF1,F3,FGA,FGG	
JAK/Stat Signaling	3E00	6.1E-02	-2.236	BCL2L1,CISH,SOCS1,SOCS2,SOCS3	
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages	2.85E00	3.93E-02	1.134	ALB,APOA1,APOA2,NFKBIA,RHOB,RND3,SERPINA1	
Clathrin-mediated Endocytosis Signaling	2.81E00	3.87E-02	NaN	ALB,APOA1,APOA2,LDLRAP1,PDGFA,PDGFB,SERPINA1	
Role of JAK2 in Hormone-like Cytokine Signaling	2.49E00	9.38E-02	NaN	SOCS1,SOCS2,SOCS3	
Sphingosine-1-phosphate Signaling	2.4E00	4.46E-02	0.447	PDGFA,PDGFB,RHOB,RND3,S1PR1	
Glioma Invasiveness Signaling	2.39E00	5.71E-02	1.000	PLAU,RHOB,RND3,TIMP4	
IL-9 Signaling	2.38E00	8.57E-02	NaN	CISH,SOCS2,SOCS3	
IL-12 Signaling and Production in Macrophages	2.31E00	4.24E-02	NaN	ALB,APOA1,APOA2,NFKBIA,SERPINA1	
Bile Acid Biosynthesis, Neutral Pathway	2.27E00	1.67E-01	NaN	AKR1C4,SLC27A5	
Intrinsic Prothrombin Activation Pathway	2.25E00	7.69E-02	NaN	FGA,FGG,KNG1	
Role of PKR in Interferon Induction and Antiviral Response	2.23E00	4.07E-02	0.447	HSPA1A/HSPA1B,Hspa1b,NFKBIA,PDGFA,PDGFB	
Iron homeostasis signaling pathway	2.11E00	3.79E-02	NaN	HIF3A,HMOX1,HPX,PDGFA,PDGFB	
STAT3 Pathway	2.07E00	3.7E-02	-1.342	CISH,PDGFB,SOCS1,SOCS2,SOCS3	
Nicotine Degradation III	2E00	6.25E-02	NaN	Aox3,CYP3A5,UGT2B28	
p53 Signaling	1.94E00	4.26E-02	NaN	BCL2L1,GADD45B,GADD45G,TP53INP1	
Type II Diabetes Mellitus Signaling	1.88E00	3.33E-02	NaN	NFKBIA,SLC27A5,SOCS1,SOCS2,SOCS3	
GADD45 Signaling	1.84E00	1E-01	NaN	GADD45B,GADD45G	
IGF-1 Signaling	1.82E00	3.92E-02	NaN	CCN2,SOCS1,SOCS2,SOCS3	
Nicotine Degradation II	1.82E00	5.36E-02	NaN	Aox3,CYP3A5,UGT2B28	
PPAR Signaling	1.78E00	3.81E-02	0.000	NFKBIA,NRIP1,PDGFA,PDGFB	
PXR/RXR Activation	1.74E00	5E-02	NaN	CES3,CYP3A5,SLCO1B3	
Apelin Cardiac Fibroblast Signaling Pathway	1.72E00	8.7E-02	NaN	APLNR,CCN2	
Role of JAK family kinases in IL-6-type Cytokine Signaling	1.65E00	8E-02	NaN	SOCS1,SOCS3	
Glucocorticoid Receptor Signaling	1.62E00	1.92E-02	NaN	BCL2L1,FGG,HSPA1A/HSPA1B,Hspa1b,NFKBIA,NRIP1,PLAU,RARG,SGK1,TSC22D3	
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	1.6E00	2.27E-02	NaN	CEBPD,CSF1,NFKBIA,PDGFA,PDGFB,SOCS1,SOCS3	
Growth Hormone Signaling	1.6E00	4.41E-02	NaN	SOCS1,SOCS2,SOCS3	
IL-10 Signaling	1.58E00	4.35E-02	NaN	HMOX1,NFKBIA,SOCS3	
Retinoate Biosynthesis II	1.56E00	3.33E-01	NaN	RBP7	
Tyrosine Biosynthesis IV	1.56E00	3.33E-01	NaN	PAH	
Maturity Onset Diabetes of Young (MODY) Signaling	1.53E00	4.17E-02	NaN	ALDOB,APOA1,APOA2	
Macropinocytosis Signaling	1.49E00	4E-02	NaN	CSF1,PDGFA,PDGFB	
Heme Degradation	1.44E00	2.5E-01	NaN	HMOX1	
Phenylalanine Degradation I (Aerobic)	1.44E00	2.5E-01	NaN	PAH	
Retinoate Biosynthesis I	1.42E00	6.06E-02	NaN	AKR1C4,RBP7	
Complement System	1.42E00	6.06E-02	NaN	C8A,C9	
IL-8 Signaling	1.39E00	2.48E-02	0.000	BCL2L1,HMOX1,NFKBIA,RHOB,RND3	
IL-17A Signaling in Fibroblasts	1.38E00	5.71E-02	NaN	CEBPD,NFKBIA	
Prolactin Signaling	1.35E00	3.53E-02	NaN	SOCS1,SOCS2,SOCS3	
TWEAK Signaling	1.34E00	5.41E-02	NaN	NFKBIA,TNFRSF12A	
Unfolded protein response	1.3E00	3.37E-02	NaN	CEBPD,HSPA1A/HSPA1B,Hspa1b	
Estrogen Biosynthesis	1.29E00	5.13E-02	NaN	AKR1C4,CYP3A5	
