© 2000-2021 QIAGEN. All rights reserved.

Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	p-value of overlap	B-H corrected p-value	Target Molecules in Dataset	Mechanistic Network
POR	1.159	enzyme	Activated	2.853	6.71E-31	8.17E-28	ACADL,ACLY,Acot1,ADH4,Akr1c14,Aldh1a7,APOA4,AQP8,CPT1A,CYB5B,CYP1A1,CYP26A1,CYP2C18,CYP2C8,CYP4A11,DHCR7,ECI1,EHHADH,ELOVL5,ETHE1,FABP2,FDPS,GADD45B,GCK,Gstm3,Gstm6,HADHB,HSD3B1,Hsd3b4 (includes others),HSPH1,LSS,MVK,NSDHL,PMVK,POR,RETSAT,SC5D,SLC22A5,TM7SF2,VNN1	 
PPARA	 	ligand-dependent nuclear receptor	Activated	5.290	6.54E-30	3.98E-27	ABCB11,ACAA1,Acaa1b,ACADL,ACADM,Acot1,ACOT2,Acot5,APOA4,AQP8,ASL,CHRNA2,CPT1A,CYB5B,CYP2C8,CYP4A11,Cyp4a14,DECR1,DHCR7,ECH1,ECI1,EHHADH,ELOVL5,ETHE1,FABP2,FDPS,FGF21,GCK,HADHB,HSD3B1,LAMB3,LIPG,LSS,MGLL,MOGAT1,MVK,NSDHL,PEX11A,PHLDA1,PLIN4,PLIN5,PMVK,POR,PPA1,PPARGC1A,RETSAT,SC5D,SELENBP1,SLC25A20,SLC27A1,SREBF1,UCP2,VNN1	 
SLC27A2	 	transporter	Inhibited	-4.316	1.00E-21	4.06E-19	ACAA1,Acaa1b,ACADL,ACADM,Acot1,CRAT,CYP4A11,Cyp4a14,DECR1,ECI1,EHHADH,ELOVL5,HADHB,MOGAT1,PEX11A,PLIN5,RETSAT,SLC25A20,SLC27A1	 
ACOX1	 	enzyme	Inhibited	-3.083	3.37E-17	1.03E-14	ACAA1,ACADL,ACADM,ACOT2,AKR1C4,CRAT,CYP26A1,CYP2C8,CYP4A11,Cyp4a14,CYP4F12,EHHADH,FAM214A,GOT1,HSD3B1,LHPP,MGLL,OAT,PEX11A,PHLDA1,RBM3,SELENBP1,SLC20A1,SLC22A25,UCP2	64 (2)
LEP	 	growth factor	 	0.063	2.38E-14	5.80E-12	ABCB11,ACADL,ACADM,ACLY,APOA4,ASL,CPT1A,CYP2C18,Cyp2c70,CYP2C8,CYP4A11,Cyp4a14,ECH1,EHHADH,ELOVL5,EPHX2,FGF21,FGFR2,GCLC,Gstm3,LEPR,OPLAH,PPARGC1A,SC5D,SERPINE1,SLC27A1,SOCS3,SREBF1,UCP2	41 (3)
PPARG	 	ligand-dependent nuclear receptor	 	1.874	9.05E-13	1.84E-10	ACAA1,Acaa1b,ACADL,ACADM,ARL4D,CIDEC,CRAT,CYP26A1,CYP4A11,Cyp4a14,DHRS3,EHHADH,FDPS,FGF21,GCK,HES1,LAMB3,LHPP,MGLL,MOGAT1,NR4A1,PEX11A,PLIN4,PLIN5,PMVK,PPARGC1A,PTPRF,SERPINE1,SREBF1,TUBB,VNN1	 
SCAP	 	other	Inhibited	-3.343	3.89E-12	6.77E-10	ACLY,ACSS2,DHCR7,EHHADH,FDPS,Gstm6,HES6,LSS,MVK,NSDHL,PCSK9,PMVK,RDH11,SC5D,SREBF1,TM7SF2	 
RORC	 	ligand-dependent nuclear receptor	 	 	8.31E-11	1.26E-08	ACOT2,APOA4,AQP8,ATP1B1,Cyp2c70,CYP2C8,CYP4A11,Cyp4a14,GADD45B,HSD3B1,Hsd3b4 (includes others),Keg1,NSDHL,POR,RDH16,SELENBP1,SLC30A10,SLC41A2	 
INSR	 	kinase	 	0.344	4.32E-10	5.84E-08	ACADL,ACADM,ACOT2,ATP1B1,CPT1A,CRAT,DECR1,DHCR7,ECI1,FDPS,FGF21,FH,GCK,HADHB,KLF10,LEPR,LSS,MVK,NR4A1,NSDHL,PDE4B,PPARGC1A,SC5D,SERPINE1,SLC25A20,SOCS3,SREBF1,UCP2	51 (5)
CREB1	 	transcription regulator	Activated	3.138	1.10E-09	1.22E-07	APOLD1,CIART,CSRNP1,GADD45B,KLF4,LSS,MIDN,MVK,NR4A1,POLE4,PPARGC1A,SERTAD1,Sik1,SREBF1	14 (2)
RORA	 	ligand-dependent nuclear receptor	 	 	1.11E-09	1.22E-07	ACOT2,APOA4,AQP8,ATP1B1,Cyp2c70,CYP2C8,CYP4A11,Cyp4a14,GADD45B,HSD3B1,Hsd3b4 (includes others),Keg1,NSDHL,POR,RDH16,SELENBP1,SLC30A10,SLC41A2	 
CLPP	 	peptidase	Inhibited	-3.450	3.21E-09	3.26E-07	ACADL,ACADM,ALDOA,CRAT,DECR1,DLST,ECH1,ECI1,FH,HADHB,PPARGC1A,SLC25A20	 
KLF15	 	transcription regulator	Activated	2.330	4.54E-08	4.25E-06	ACADL,ACADM,Acot1,DECR1,EHHADH,HADHB,PPARGC1A,SLC25A20,SLC27A1	 
HNF4A	 	transcription regulator	Inhibited	-2.277	5.46E-08	4.60E-06	ABCB11,Acot1,ACSS2,AQP8,CDH1,CIDEC,CLDN1,CPT1A,CYP1A1,FABP2,FMO2,GADD45B,Hsd3b4 (includes others),HSPA8,LEPR,MLXIPL,NPNT,POR,RNF152,SH3PXD2A,SRSF3,TFRC,TOX	 
