© 2000-2021 QIAGEN. All rights reserved.

Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	p-value of overlap	B-H corrected p-value	Target Molecules in Dataset	Mechanistic Network
ID2	 	transcription regulator	 	1.941	2.41E-08	4.01E-05	BCL2,BCL3,BCL6,CD83,CSF1,CXCR5,DUSP22,DUSP4,GADD45B,GADD45G,ICOSLG/LOC102723996,ID3,IKZF2,IKZF3,IKZF4,IL7R,MAF,MAP3K14,MYC,NFKBIE,NR4A3,SELL,SOCS3,SOX4,Tcf7	28 (2)
ID3	1.063	transcription regulator	Activated	2.333	1.02E-07	8.52E-05	BCL2,BCL3,BCL6,CD83,CSF1,CXCR5,DUSP22,DUSP4,GADD45B,GADD45G,ICOSLG/LOC102723996,IKZF2,IKZF3,IKZF4,IL7R,MAF,MAP3K14,MYC,NR4A3,SELL,SOCS3,SOX4	 
Tcf7	3.323	transcription regulator	 	-0.809	5.86E-07	3.25E-04	AGPAT5,ARHGAP20,BACH1,BCL2,CD83,CISH,CXCR5,ENO2,FAAH,ID3,IKZF3,IKZF4,IL7R,LEF1,MAF,MYD88,PAPSS2,PPARG,PPM1L,RARG,RRAGD,SELL,SOCS2,SOCS3	 
LDB1	0.850	transcription regulator	 	-0.577	1.51E-06	4.68E-04	AHR,ANGPT1,ARID3A,BCL2,CD53,CD79B,DUSP22,ENO2,ETV3,GRB10,GSDME,ICOSLG/LOC102723996,IRS2,LEF1,LPIN2,MAP3K8,MEF2C,MFGE8,RASGRP1,RHOH,SERTAD1,SMAD3,SOBP,Tcf7,TLR2,TNFRSF1B,TRIM35	 
LIPE	 	enzyme	 	0.218	1.69E-06	4.68E-04	ANGPT1,ANKRD1,AQP4,ATF3,BCL6,ELL,G0S2,GRB10,H3-3A/H3-3B,HSPA1A/HSPA1B,MEF2C,PFKFB1,PPARG,RARB,RXRG,SOX18	 
CASR	 	G-protein coupled receptor	 	0.000	1.69E-06	4.68E-04	BCL2,CDT1,CISH,CSF1,DSG1,GADD45G,IER3,IGFBP5,KIF22,MYD88,PPARG,RGCC,S100A9,SOCS3,THBD,TLR2	 
ZMPSTE24	 	peptidase	 	-0.706	2.05E-06	4.87E-04	ATF3,CISH,DDIT4,GADD45B,GADD45G,GHR,IGFBP5,SOCS1,SOCS2,SOCS3	 
PIM1	 	kinase	 	1.387	4.97E-06	9.09E-04	BCL2,MYC,PPARGC1A,SELL,SOCS1	 
SATB1	 	transcription regulator	 	-0.653	4.99E-06	9.09E-04	BCL2,BTLA,CD8A,HLA-DOB,ID3,IL16,IL7R,MAF,NFE2L2,RIPK1,RUNX1,SMAD3	 
TCR	 	complex	 	0.990	6.22E-06	9.09E-04	BACH2,BCL2,CISH,CXCR5,GADD45B,GADD45G,ID3,MYC,NAB2,RUNX1,SELL,SOCS2,Tcf7	72 (8)
