© 2000-2021 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
JAK/Stat Signaling	4.14E00	6.1E-02	-2.236	BCL2L1,CISH,SOCS1,SOCS2,SOCS3	
Role of JAK2 in Hormone-like Cytokine Signaling	3.2E00	9.38E-02	NaN	SOCS1,SOCS2,SOCS3	
IL-9 Signaling	3.08E00	8.57E-02	NaN	CISH,SOCS2,SOCS3	
Prolactin Signaling	2.97E00	4.71E-02	-1.000	IRF1,SOCS1,SOCS2,SOCS3	
Retinoic acid Mediated Apoptosis Signaling	2.79E00	6.82E-02	NaN	IRF1,PARP16,TIPARP	
IGF-1 Signaling	2.68E00	3.92E-02	NaN	CCN2,SOCS1,SOCS2,SOCS3	
Role of Tissue Factor in Cancer	2.53E00	3.57E-02	NaN	BCL2L1,CCN2,CSF1,F3	
Growth Hormone Signaling	2.25E00	4.41E-02	NaN	SOCS1,SOCS2,SOCS3	
STAT3 Pathway	2.24E00	2.96E-02	-2.000	CISH,SOCS1,SOCS2,SOCS3	
Apelin Cardiac Fibroblast Signaling Pathway	2.19E00	8.7E-02	NaN	APLNR,CCN2	
Role of JAK family kinases in IL-6-type Cytokine Signaling	2.12E00	8E-02	NaN	SOCS1,SOCS3	
Type II Diabetes Mellitus Signaling	2.09E00	2.67E-02	NaN	NFKBIA,SOCS1,SOCS2,SOCS3	
Th1 and Th2 Activation Pathway	2.04E00	2.58E-02	NaN	IRF1,S1PR1,SOCS1,SOCS3	
Interferon Signaling	1.94E00	6.45E-02	NaN	IRF1,SOCS1	
Acute Phase Response Signaling	1.88E00	2.31E-02	-2.000	NFKBIA,SOCS1,SOCS2,SOCS3	
p53 Signaling	1.87E00	3.19E-02	NaN	BCL2L1,GADD45G,TP53INP1	
Death Receptor Signaling	1.87E00	3.19E-02	NaN	NFKBIA,PARP16,TIPARP	
G-Protein Coupled Receptor Signaling	1.84E00	1.85E-02	NaN	APLNR,NFKBIA,PTGIR,RASGRP1,S1PR1	
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages	1.84E00	2.25E-02	0.000	IRF1,NFKBIA,RHOB,RND3	
IL-17A Signaling in Fibroblasts	1.84E00	5.71E-02	NaN	CEBPD,NFKBIA	
UVA-Induced MAPK Signaling	1.83E00	3.09E-02	NaN	BCL2L1,PARP16,TIPARP	
Sumoylation Pathway	1.83E00	3.09E-02	NaN	NFKBIA,RHOB,RND3	
Th1 Pathway	1.7E00	2.75E-02	NaN	IRF1,SOCS1,SOCS3	
Sphingosine-1-phosphate Signaling	1.67E00	2.68E-02	NaN	RHOB,RND3,S1PR1	
IL-8 Signaling	1.65E00	1.98E-02	NaN	BCL2L1,NFKBIA,RHOB,RND3	
Type I Diabetes Mellitus Signaling	1.63E00	1.63E-02	-1.342	IRF1,NFKBIA,SOCS1,SOCS2,SOCS3	
Apelin Pancreas Signaling Pathway	1.63E00	4.44E-02	NaN	APLNR,DDIT3	
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	1.63E00	1.62E-02	NaN	CEBPD,CSF1,NFKBIA,SOCS1,SOCS3	
iNOS Signaling	1.61E00	4.35E-02	NaN	IRF1,NFKBIA	
IL-23 Signaling Pathway	1.61E00	4.35E-02	NaN	NFKBIA,SOCS3	
Molecular Mechanisms of Cancer	1.57E00	1.39E-02	NaN	BCL2L1,NFKBIA,RALGDS,RASGRP1,RHOB,RND3	
IL-6 Signaling	1.55E00	2.4E-02	NaN	NFKBIA,SOCS1,SOCS3	
Adipogenesis pathway	1.49E00	2.29E-02	NaN	CEBPD,DDIT3,PER2	
