© 2000-2021 QIAGEN. All rights reserved.

Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	p-value of overlap	B-H corrected p-value	Target Molecules in Dataset	Mechanistic Network
CRY1	-1.522	enzyme	 	-0.348	4.88E-11	1.24E-07	ARNTL,CEBPA,DBP,FOS,IL1B,PCK1,PER1,PER2,SGK1	13 (2)
CRY2	 	enzyme	 	1.219	2.55E-10	3.25E-07	ARNTL,CRY1,DBP,FOS,IL1B,PCK1,PER1,PER2,SGK1	29 (3)
STAT3	0.723	transcription regulator	 	0.344	8.62E-10	7.32E-07	AKT1,BCL3,CCND1,CCNE1,CDKN1A,CEBPB,DLL1,EGR1,FASN,FGB,FOS,G6PC,GADD45A,GBP3,ICAM1,IFI16,IFI35,IGFBP1,IL1B,IL6R,IRF5,ISG15,LTBR,OASL,PCK1,PIM1,POLE4,PPARGC1A,PSMB9,RORA,SAA1,SERPINE1,SOCS3,SREBF1,STAT2,STAT3,TAP1,TNF,TNFRSF1B,TNFSF10,TP53,VEGFA,ZFP36	202 (18)
CREB1	 	transcription regulator	 	-1.136	3.97E-08	1.89E-05	BHLHE40,BTG2,CEBPA,CEBPB,Chil3/Chil4,EGR1,ERRFI1,FASN,FOS,IRS2,MIDN,MKNK2,MRC1,NAB2,NFIL3,PER1,POLE4,PPARGC1A,SREBF1,VEGFA	89 (8)
IL1B	3.079	cytokine	 	-0.519	4.38E-08	1.89E-05	APCS,BTG2,CSF1,Cxcl11,CXCR4,DDIT4,EGR1,ERRFI1,FOS,FOXO1,HP,ICAM1,IL1B,NFIL3,NFKBIA,RGS16,RORA,SAA1,Saa3,SLC25A25,SOCS3,SUCNR1,TLR2,TNF,TSC22D3,VCAM1,VEGFA,ZFP36	186 (15)
OSM	 	cytokine	 	0.544	5.05E-08	1.89E-05	BCL3,CEBPA,CISH,CXCL13,FASN,FOS,Hamp/Hamp2,HP,IL1B,LRG1,MRC1,SOCS3,STAT3,TNF,VCAM1,VEGFA,ZFP36	207 (15)
ZBTB20	0.715	transcription regulator	 	0.444	5.20E-08	1.89E-05	ACSS2,AKT1,CISH,Cyp2b13/Cyp2b9,CYP2B6,FASN,G6PC,GAS6,IGFBP1,NFKBIA,PCK1,PDK4,PPARGC1A,SOCS3,TNF	61 (3)
ZMPSTE24	 	peptidase	 	1.213	8.68E-08	2.77E-05	BTG2,CDKN1A,CISH,DDIT4,ETNPPL,FGL1,GADD45A,GADD45G,ICAM1,IGFBP1,RGS16,SOCS3,STAT5B,TNF	48 (4)
PPARA	 	ligand-dependent nuclear receptor	 	-1.485	1.25E-07	3.53E-05	ACAT2,ANGPTL4,APCS,AQP8,CCND1,CDK2,CDKN1A,CEACAM1,CEBPA,CEBPB,CEBPD,CHKA,CTH,CYP2B6,CYP7A1,ELOVL3,ETHE1,FABP5,FASN,FBXO21,FGB,FOS,G6PC,Hmgn2 (includes others),IL1B,KRT23,LGALS4,MGMT,MMD,NFE2L2,NFKBIA,Orm1 (includes others),PBLD,PCK1,PDK4,PLIN4,PPARGC1A,RFX4,RNF186,SAA1,SCARB1,SREBF1,SRM,STBD1,TLR2,TLR5,TNF,VCAM1	143 (10)
SRD5A1	 	enzyme	 	0.000	1.67E-07	4.25E-05	AKT1,CLDN1,CLDN2,FABP5,FASN,G6PC,IRS2,LCN2,PCK1,SREBF1	 
