© 2000-2021 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Aryl Hydrocarbon Receptor Signaling	1.28E01	2.91E-01	-0.209	AHR,ALDH8A1,ARNT,ATM,CCNE1,CDK2,CYP1A1,CYP1A2,CYP2C18,Cyp2c23,Cyp2c54 (includes others),CYP2C8,Cyp3a25 (includes others),DCT,DHFR,GSTA3,GSTA5,GSTM1,GSTM2,Gstm3,Gstm6,GSTT2/GSTT2B,HSP90AA1,HSP90AB1,HSPB1,IL1A,IL1B,MYC,NCOA2,NCOA3,NCOA7,NFIB,NFIC,NFKB2,NQO2,NR0B2,RARG,RBL1,REL,RELB,TGM2,TNF,TRIP11	
NRF2-mediated Oxidative Stress Response	1.04E01	2.28E-01	0.688	ABCC1,ACTG1,BACH1,CCT7,CDC34,CLPP,CYP1A1,CYP1A2,Cyp2a12/Cyp2a22,CYP2C18,Cyp2c23,Cyp2c54 (includes others),CYP2C8,CYP2R1,Cyp3a25 (includes others),CYP4A11,Cyp4a14,DNAJA1,DNAJB2,DNAJB5,DNAJC11,DNAJC17,FKBP5,GCLC,GSTA3,GSTA5,GSTM1,GSTM2,Gstm3,Gstm6,GSTT2/GSTT2B,HACD3,HERPUD1,HMOX1,HSP90AA1,HSP90AB1,HSPB8,JUNB,MAP2K6,MAP3K1,MAPK14,NQO2,PIK3CB,PIK3R5,PRKCA,PRKCD,PRKD3,RAP2A,STIP1,TXNRD1	
Role of PKR in Interferon Induction and Antiviral Response	8.38E00	2.6E-01	-0.192	ATF3,CASP3,COLEC12,ELP1,HSP90AA1,HSP90AB1,HSPA14,HSPA1A/HSPA1B,Hspa1b,HSPA4,HSPA8,IKBKB,IL18,IL1B,IRF1,IRF9,MAP2K6,MAPK14,MAVS,MYD88,NFKB2,NFKBID,NFKBIE,NLRP3,PDGFA,REL,RELB,STAT2,STAT3,TAB2,TNF,TNFRSF1A	
BAG2 Signaling Pathway	7.63E00	2.96E-01	1.508	CASP3,HSP90AA1,HSPA14,HSPA1A/HSPA1B,Hspa1b,HSPA4,HSPA8,MAPK14,MAPKAPK2,MYC,NFKB2,PSMA7,PSMB4,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMD12,PSMD3,PSMD4,PSMD6,REL,RELB	
Acute Phase Response Signaling	7.61E00	2.2E-01	0.557	APCS,CEBPB,ELP1,HMOX1,HP,IKBKB,IL18,IL1A,IL1B,IL1RN,IL6R,ITIH3,KLKB1,MAP2K6,MAP3K1,MAP3K14,MAPK14,MYD88,NFKB2,NFKBID,NFKBIE,OSMR,PIK3CB,RAP2A,REL,RELB,SAA1,SAA2-SAA4,Saa3,SERPINA3,SERPINE1,SOCS2,SOCS3,SOCS5,STAT3,TNF,TNFRSF1A,TNFRSF1B	
Xenobiotic Metabolism Signaling	6.63E00	1.81E-01	NaN	AHR,ALDH8A1,ARNT,Ces1g,CHST10,CITED2,CYP1A1,CYP1A2,CYP2C8,FMO2,GCLC,GSTA3,GSTA5,GSTM1,GSTM2,Gstm3,Gstm6,GSTT2/GSTT2B,HMOX1,HSP90AA1,HSP90AB1,IL1A,IL1B,MAP2K6,MAP3K1,MAP3K13,MAP3K14,MAP3K6,MAP3K8,MAPK14,NDST1,NFKB2,NQO2,PIK3CB,PIK3R5,PPP2R1B,PPP2R5E,PRKCA,PRKCD,PRKD3,RAP2A,REL,RELB,SULT1C2,TNF,UGT2B17,UGT2B28,UGT2B7	
Xenobiotic Metabolism AHR Signaling Pathway	6.52E00	2.78E-01	-1.342	AHR,ALDH8A1,ARNT,CYP1A1,CYP1A2,GSTA3,GSTA5,GSTM1,GSTM2,Gstm3,Gstm6,GSTT2/GSTT2B,HSP90AA1,HSP90AB1,IL1A,IL1B,NCOA2,NFKB2,NQO2,REL,RELB,TNF	
LPS/IL-1 Mediated Inhibition of RXR Function	6.5E00	1.89E-01	1.414	ABCB11,ABCG5,ABCG8,ACSL3,ALDH8A1,CD14,CHST10,Cyp2a12/Cyp2a22,CYP2C18,Cyp2c23,Cyp2c54 (includes others),CYP2C8,CYP2R1,CYP4A11,Cyp4a14,CYP7A1,FABP2,FMO2,GSTA3,GSTA5,GSTM1,GSTM2,Gstm3,Gstm6,GSTT2/GSTT2B,HMGCS1,IL18,IL1A,IL1B,IL1RN,LIPC,MAP3K1,MYD88,NDST1,NR0B2,NR1H4,SLC27A1,SREBF1,SULT1C2,TNF,TNFRSF1A,TNFRSF1B,XPO1	
IL-9 Signaling	6.49E00	4E-01	0.000	BCL3,CISH,IRS1,JAK3,NFKB2,PIK3CB,PIK3R5,REL,RELB,SOCS2,SOCS3,STAT3,STAT5B,TNF	
IL-6 Signaling	6.49E00	2.32E-01	1.400	CD14,CEBPB,ELP1,HSPB1,IKBKB,IL18,IL1A,IL1B,IL1RN,IL6R,MAP2K6,MAP3K14,MAPK14,MAPKAPK2,NFKB2,NFKBID,NFKBIE,PIK3CB,PIK3R5,RAP2A,REL,RELB,SOCS3,SRF,STAT3,TNF,TNFRSF1A,TNFRSF1B,VEGFA	
Xenobiotic Metabolism General Signaling Pathway	6.49E00	2.27E-01	-1.671	ABCA2,AHR,ARNT,GCLC,GSTA3,GSTA5,GSTM1,GSTM2,Gstm3,Gstm6,GSTT2/GSTT2B,HMOX1,MAP2K6,MAP3K1,MAP3K13,MAP3K14,MAP3K6,MAP3K8,MAPK14,NQO2,NR1H4,PIK3CB,PIK3R5,PRKCA,PRKCD,PRKD3,RAP2A,UGT2B17,UGT2B28,UGT2B7	
IL-1 Signaling	6.48E00	2.61E-01	1.387	ADCY1,ADCY9,ELP1,GNA11,GNA12,GNA14,GNAT1,GNG12,GNG2,IKBKB,IL1A,IRAK2,MAP2K6,MAP3K1,MAP3K14,MAPK14,MYD88,NFKB2,NFKBID,NFKBIE,PRKAR2A,REL,RELB,TAB2	
