© 2000-2021 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
NRF2-mediated Oxidative Stress Response	3.48E00	5.02E-02	1.897	BACH1,CAT,FOSL1,FTL,HACD3,HMOX1,MAF,MAFF,MAFK,NFE2L2,NQO2	
Xenobiotic Metabolism Signaling	2.8E00	4.15E-02	NaN	CAT,FMO2,FTL,HMOX1,HS3ST5,MAF,MAP3K14,MAP3K6,NFE2L2,NOS2,NQO2	
Citrulline-Nitric Oxide Cycle	2.7E00	4E-01	NaN	NOS1,NOS2	
Adipogenesis pathway	2.55E00	5.34E-02	NaN	FBXW7,FGF2,FOXO1,HDAC2,KLF3,PPARG,SMAD3	
Xenobiotic Metabolism General Signaling Pathway	2.53E00	5.3E-02	1.134	FTL,HMOX1,MAF,MAP3K14,MAP3K6,NFE2L2,NQO2	
Apelin Cardiac Fibroblast Signaling Pathway	2.38E00	1.3E-01	NaN	APLNR,PRKAG3,SERPINE1	
Superpathway of Inositol Phosphate Compounds	2.32E00	4.05E-02	0.816	DUSP4,ITPK1,PI4K2A,PIP4P1,PLCD4,PLPP7,PPP1R10,PPP1R14C,SOCS3	
D-myo-inositol-5-phosphate Metabolism	2.31E00	4.37E-02	0.447	DUSP4,ITPK1,PIP4P1,PLCD4,PLPP7,PPP1R10,PPP1R14C,SOCS3	
Ferroptosis Signaling Pathway	2.07E00	4.88E-02	0.000	FTL,HMOX1,HSPB1,NFE2L2,PRKAG3,SLC39A14	
Autophagy	2.01E00	3.88E-02	0.000	Calm1 (includes others),FGF2,FOXO1,FUNDC1,IRS2,PI4K2A,PRKAG3,TLR4	
IL-9 Signaling	1.87E00	8.57E-02	NaN	CISH,IRS2,SOCS3	
Cell Cycle: G1/S Checkpoint Regulation	1.85E00	6.15E-02	1.000	FOXO1,GNL3,HDAC2,SMAD3	
