© 2000-2021 QIAGEN. All rights reserved.

Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	Flags	p-value of overlap	B-H corrected p-value	Target Molecules in Dataset	Mechanistic Network
IL1B	3.682	cytokine	Activated	3.399	 	6.43E-17	1.52E-13	APCS,ATF3,ATF4,CASP4,Ccl2,CSF1,Cxcl11,CXCL2,CXCL3,CXCR4,DDIT4,FOXO1,GBP6,HSPA5,ICAM1,IL1B,IRF1,NFKBIA,NFKBIZ,PHLDA1,RGS16,S100A8,SAA1,SLC25A25,SLC7A11,Slco1a4,SOCS3,SYVN1,TLR2,TNF,TNFAIP3,TSC22D3,TXNIP,UAP1,VEGFA,ZFP36	136 (15)
TICAM1	 	other	Activated	3.230	bias	2.81E-12	3.31E-09	ACOD1,BCL3,CASP4,Ccl2,CCL3L3,CEBPD,CXCL10,Cxcl11,CXCL2,CXCL3,DUSP1,ETS2,ICAM1,IL1B,IRF1,MEFV,Mx2,NFKBIA,NFKBIZ,PELI1,RELB,SERPINE1,SLC7A2,SOCS3,TLR2,TNF,TNFAIP3	140 (14)
TNF	2.968	cytokine	Activated	4.563	 	6.76E-11	5.20E-08	APCS,ATF4,CASP4,Ccl2,CCL3L3,CCND1,CEBPB,CEBPD,CSF1,CXCL10,Cxcl11,CXCL2,CXCL3,F3,GBP6,HMOX1,ICAM1,IL1B,IRF1,Kcnn2,MYD88,NFKBIA,NFKBIZ,NLRP3,OCLN,RIPK1,S100A8,SAA1,SERPINE1,Slco1a4,SOCS3,STAT3,STEAP4,SYVN1,TLR2,TNF,TNFAIP3,TNFRSF1A,TNFRSF1B,TSC22D3,TXNIP,UBE2H	130 (14)
EIF2AK3	0.668	kinase	Activated	2.013	bias	8.82E-11	5.20E-08	ABCF2,AMY2B,Arf2,ATF3,ATF4,CBX4,Ccl2,CEBPB,CEBPG,CTSC,DERL3,ETS2,GADD45A,GOLT1B,HSPA5,IARS1,RELB,SPATA5,SYVN1,TRIB3,TXNIP,WARS1,XBP1,YARS1,ZFP36	 
IKBKB	 	kinase	Activated	2.060	 	1.21E-10	5.71E-08	ACOD1,ATF3,BMP2,Ccl2,CCL3L3,CCN2,CCND1,CEBPB,CEBPD,CSF1,CXCL10,Cxcl11,CXCL2,CXCL3,CXCR4,GADD45A,H2AX,HMOX1,ICAM1,IL1B,JUNB,NFKBIA,RCAN1,RELB,RGS16,SGK1,SOCS3,TNF,TNFAIP2,TNFRSF1B,VEGFA	144 (13)
TLR9	 	transmembrane receptor	Activated	3.258	bias	2.86E-10	1.12E-07	ACOD1,ATF3,Ccl2,CCL3L3,CCND1,CERS6,CISH,CSF1,CXCL10,CXCL2,CXCL3,DUSP1,HMOX1,ICAM1,IER3,IL1B,MYD88,NFKBIZ,PHLDA1,PTGER2,S100A8,SERPINE1,SGMS2,SOCS3,STAT2,TNF,TNFRSF1B,UAP1,UGCG	153 (14)
OPA1	 	enzyme	Inhibited	-2.958	bias	6.05E-10	2.04E-07	ATF4,HSPA5,IL1B,MYD88,NLRP3,S100A8,S100A9,TLR2,TNF,XBP1	102 (8)
MYD88	0.738	other	Activated	3.739	bias	2.73E-09	7.53E-07	ACOD1,APCS,BCL3,BLM,CASP4,Ccl2,CCL3L3,CEBPD,CXCL10,CXCL2,CXCL3,DAXX,DUSP1,ETS2,FBXO32,HSPA5,ICAM1,IL1B,IRF1,MEFV,NFKBIA,NFKBIZ,NLRP3,RELB,S100A8,SAA1,SERPINE1,SLC7A2,SOCS3,TLR2,TNF,TNFAIP3	134 (14)
ZMPSTE24	 	peptidase	 	-0.715	 	2.87E-09	7.53E-07	ATF3,CISH,CXCL2,CXCL3,DDIT4,ETNPPL,GADD45A,ICAM1,IGFBP1,RGS16,SOCS2,SOCS3,STAT5B,TNF	122 (14)
TLR4	 	transmembrane receptor	Activated	3.716	 	3.56E-09	8.39E-07	ARID5A,ATF3,Ccl2,CCL3L3,CEBPD,CERS6,CISH,CXCL10,Cxcl11,CXCL2,CXCL3,DAXX,FBXO32,HMOX1,HSPA5,ICAM1,IL1B,IRF1,Mx2,NFKBIA,NFKBIZ,NLRP3,PELI1,RELB,RGS1,RGS16,SGMS2,SOCS3,ST3GAL1,STAT2,STAT3,TLR2,TNF,TNFAIP3,TRAF6,UGCG,XBP1	134 (13)
