© 2000-2021 QIAGEN. All rights reserved.

Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	Flags	p-value of overlap	B-H corrected p-value	Target Molecules in Dataset	Mechanistic Network
CREM	 	transcription regulator	Activated	2.961	 	2.38E-13	1.50E-10	APOLD1,BTG2,CIART,CSRNP1,ERRFI1,FOS,IRS2,JUNB,Sik1,THBS1	 
CREB1	 	transcription regulator	Activated	2.985	 	6.39E-12	2.02E-09	APOLD1,BTG2,CIART,CSRNP1,ERRFI1,FOS,IRS2,JUNB,Sik1	10 (2)
IL1B	 	cytokine	Activated	2.920	 	5.91E-11	1.24E-08	BTG2,CSRNP1,ERRFI1,FGF2,FOS,FOSB,Mt1,Mt2,MYOD1,ZFP36	 
GNAS	 	enzyme	Activated	2.433	 	6.54E-09	1.03E-06	ARL4D,FOS,FOSL2,MAFF,NR4A3,THBS1	 
IRAK4	 	kinase	 	 	 	6.04E-08	7.62E-06	BTG2,CSRNP1,ERRFI1,FOS,FOSB,ZFP36	 
CAMK4	 	kinase	 	1.982	 	1.20E-07	1.26E-05	FOS,FOSB,FOSL2,JUNB	 
NCOA1	 	transcription regulator	 	-0.765	 	1.79E-07	1.61E-05	BTG2,Calm1 (includes others),FGF2,FOS,JUNB,KDR	 
MEF2C	 	transcription regulator	 	1.109	 	2.95E-07	2.32E-05	FOS,FOSB,JUNB,MYOD1,ZFP36	 
KCNE3	 	ion channel	 	 	 	2.38E-06	1.67E-04	APOLD1,CSRNP1,FOSB,PLK3,Sik1	 
G protein alphai	 	group	Activated	2.219	bias	2.75E-06	1.73E-04	FOS,FOSL2,MAFF,NR4A3,THBS1	 
GNAQ	 	enzyme	Activated	2.000	bias	4.92E-06	2.82E-04	FOS,MAFF,Rnf125,SERPINE1	 
MEF2D	 	transcription regulator	 	1.732	bias	6.13E-06	3.23E-04	FOS,FOSB,JUNB,ZFP36	 
STEAP3	 	transporter	 	-1.000	bias	1.86E-05	8.47E-04	ACER2,ERRFI1,FGF2,NR4A3	 
APEX1	 	enzyme	 	 	 	1.98E-05	8.47E-04	FOS,FOSB,JUNB	 
SERPINE1	1.807	other	 	1.000	 	2.01E-05	8.47E-04	FGF2,FOS,JUNB,ZFP36	 
OSMR	 	transmembrane receptor	 	 	 	2.93E-05	1.15E-03	FOS,JUNB,Mt2,ZFP36	7 (2)
IKBKG	 	kinase	Activated	2.213	 	3.26E-05	1.15E-03	FOS,IFI16,JUNB,Mt1,Mt2	 
ENG	 	transmembrane receptor	 	 	 	3.29E-05	1.15E-03	KDR,SERPINE1,THBS1	 
CHUK	 	kinase	Activated	2.213	 	3.83E-05	1.27E-03	FOS,IFI16,JUNB,Mt1,Mt2	 
Mt1	1.376	other	 	 	 	4.43E-05	1.35E-03	FOS,Mt1,SERPINE1	 
AHR	 	ligand-dependent nuclear receptor	 	1.000	 	4.51E-05	1.35E-03	BTG2,FOS,JUNB,Mt1,Mt2,SERPINE1,THBS1	11 (4)
OSM	 	cytokine	Activated	2.000	 	4.97E-05	1.39E-03	FOS,JUNB,Mt2,ZFP36	7 (2)
IPMK	 	kinase	 	 	 	5.08E-05	1.39E-03	FOS,FOSB,JUNB	 
OPRK1	 	G-protein coupled receptor	 	 	 	5.87E-05	1.44E-03	FOS,KDR	 
ELK3	 	transcription regulator	 	 	 	5.87E-05	1.44E-03	FOS,SERPINE1	 
ERK1/2	 	group	Activated	2.000	 	5.95E-05	1.44E-03	FOS,IRS2,JUNB,SERPINE1	 
E2F1	 	transcription regulator	 	 	 	6.73E-05	1.57E-03	Calm1 (includes others),FOS,IRS2,SERPINE1,ZFP36	 
MAPK3	 	kinase	 	 	 	9.29E-05	2.09E-03	FOS,FOSL2,JUNB	3 (2)
TLR3	 	transmembrane receptor	 	1.308	 	1.41E-04	3.07E-03	Apol11b (includes others),IFI16,JUNB,LILRB4,SERPINE1	 
SERCA	 	group	 	 	 	1.46E-04	3.07E-03	BTG2,ZFP36	 
BMP10	 	growth factor	 	1.000	 	1.51E-04	3.07E-03	FGF2,FOS,NR4A3,THBS1	 
MYF6	 	transcription regulator	 	 	 	1.80E-04	3.49E-03	FGF2,MYOD1,SERPINE1,THBS1	 
DRD2	 	G-protein coupled receptor	 	 	 	1.83E-04	3.49E-03	FOS,SERPINE1,THBS1	 
CREBBP	 	transcription regulator	 	 	 	2.02E-04	3.74E-03	CD160,FOS,FOSB,FOSL2,MYOD1,Rnf125	 
PDX1	 	transcription regulator	 	 	 	2.13E-04	3.84E-03	ARL4D,FGF2,IRS2,PAPSS2	 
STAT3	 	transcription regulator	 	0.436	 	2.27E-04	3.98E-03	FOS,IFI16,JUNB,MYOD1,SERPINE1,ZFP36	 
TIMP3	 	other	 	 	 	2.34E-04	3.99E-03	FOS,SERPINE1,THBS1	 
BDNF	 	growth factor	 	 	 	3.15E-04	5.10E-03	FOS,MYOD1,THBS1,TRIB2	 
MRTFB	 	transcription regulator	 	 	 	3.27E-04	5.10E-03	LILRB4,SERPINE1,SLC20A1,THBS1	 
IKBKB	 	kinase	Activated	2.216	 	3.33E-04	5.10E-03	FOS,IFI16,JUNB,Mt1,Mt2	 
PTK2	 	kinase	 	 	 	3.38E-04	5.10E-03	FOS,PRRX1,THBS1	 
RBPJ	 	transcription regulator	 	 	 	3.39E-04	5.10E-03	FGF2,FOS,KDR,SOX4	 
MAPK9	 	kinase	 	 	 	3.78E-04	5.54E-03	FOS,FOSL2,JUNB,ZFP36	7 (2)
SRD5A2	 	enzyme	 	 	 	4.35E-04	6.10E-03	IRS2,Mt1	 
Igkv1-117	 	other	 	 	 	4.35E-04	6.10E-03	FOSL2,JUNB	 
