© 2000-2021 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Superpathway of Cholesterol Biosynthesis	8.84E00	3.21E-01	-2.333	DHCR7,FDPS,HADHB,LSS,MVK,NSDHL,PMVK,SC5D,TM7SF2	
Fatty Acid β-oxidation I	6.74E00	2.35E-01	2.828	ACAA1,Acaa1b,ACADM,ECI1,Eci3,EHHADH,HADHB,SLC27A1	
Cholesterol Biosynthesis I	5.57E00	3.85E-01	-2.236	DHCR7,LSS,NSDHL,SC5D,TM7SF2	
Cholesterol Biosynthesis II (via 24,25-dihydrolanosterol)	5.57E00	3.85E-01	-2.236	DHCR7,LSS,NSDHL,SC5D,TM7SF2	
Cholesterol Biosynthesis III (via Desmosterol)	5.57E00	3.85E-01	-2.236	DHCR7,LSS,NSDHL,SC5D,TM7SF2	
NRF2-mediated Oxidative Stress Response	5.33E00	7.31E-02	NaN	CYP1A1,CYP2C18,Cyp2c70,CYP2C8,CYP2R1,CYP4A11,Cyp4a14,DNAJA1,DNAJB4,FKBP5,GCLC,Gstm3,Gstm6,HACD3,JUND,RASD1	
LPS/IL-1 Mediated Inhibition of RXR Function	5.11E00	7.02E-02	-0.378	ABCB11,CPT1A,CRAT,CYP2C18,Cyp2c70,CYP2C8,CYP2R1,CYP4A11,Cyp4a14,FABP2,FMO2,Gstm3,Gstm6,PPARGC1A,SLC27A1,SREBF1	
Fatty Acid β-oxidation III (Unsaturated, Odd Number)	4.58E00	7.5E-01	NaN	ECI1,Eci3,EHHADH	
Unfolded protein response	4.32E00	1.01E-01	0.816	CD82,DNAJA1,DNAJB4,ERN1,HSPA1A/HSPA1B,Hspa1b,HSPA8,HSPH1,SREBF1	
Estrogen Biosynthesis	4.07E00	1.54E-01	-1.633	AKR1C4,CYP1A1,CYP2C18,CYP2C8,HSD17B2,POR	
Acetone Degradation I (to Methylglyoxal)	3.71E00	1.72E-01	-0.447	CYP1A1,CYP2C18,CYP2C8,CYP4A11,POR	
Superpathway of Geranylgeranyldiphosphate Biosynthesis I (via Mevalonate)	3.61E00	2.35E-01	-1.000	FDPS,HADHB,MVK,PMVK	
Retinoate Biosynthesis I	3.44E00	1.52E-01	-1.342	ADH4,AKR1C4,DHRS3,RDH11,RDH16	
Nicotine Degradation II	3.19E00	1.07E-01	-0.816	CYP1A1,CYP2C18,CYP2C8,FMO2,POR,UGT2B7	
Sirtuin Signaling Pathway	3.19E00	5.2E-02	0.632	ACADL,ACLY,ACSS2,CDH1,CPT1A,GADD45B,MAPK15,MYCN,PPARGC1A,REL,SREBF1,TIMM10,TOMM40,UCP2	
Bupropion Degradation	3.15E00	1.82E-01	-1.000	CYP1A1,CYP2C18,CYP2C8,POR	
1,25-dihydroxyvitamin D3 Biosynthesis	2.97E00	6.67E-01	NaN	CYP2R1,POR	
RAR Activation	2.97E00	5.76E-02	NaN	ADH4,AKR1C4,CYP26A1,DHRS3,PPARGC1A,RDH11,RDH16,REL,SMAD9,SORBS3,STAT5B	
Oxidative Ethanol Degradation III	2.81E00	1.11E-01	NaN	ACSS2,CYP2C18,Cyp2c70,CYP2C8,CYP2R1	
Mevalonate Pathway I	2.77E00	2.31E-01	NaN	HADHB,MVK,PMVK	
Melatonin Degradation I	2.76E00	1.09E-01	-1.342	CYP1A1,CYP2C18,CYP2C8,POR,UGT2B7	
Nicotine Degradation III	2.68E00	1.04E-01	-1.342	CYP1A1,CYP2C18,CYP2C8,POR,UGT2B7	
Androgen Biosynthesis	2.68E00	2.14E-01	NaN	AKR1C4,HSD3B1,Hsd3b4 (includes others)	
Superpathway of Melatonin Degradation	2.56E00	9.8E-02	-1.342	CYP1A1,CYP2C18,CYP2C8,POR,UGT2B7	
PPARα/RXRα Activation	2.56E00	5.43E-02	0.707	ACAA1,ACADL,CYP2C18,Cyp2c70,CYP2C8,PPARGC1A,RASD1,REL,SLC27A1,STAT5B	
Arginine Biosynthesis IV	2.46E00	4E-01	NaN	ASL,OAT	
α-tocopherol Degradation	2.46E00	4E-01	NaN	CYP4A11,CYP4F12	
Xenobiotic Metabolism Signaling	2.32E00	4.53E-02	NaN	CYP1A1,CYP2C8,FMO2,GCLC,Gstm3,Gstm6,HDAC5,MAP3K4,PPARGC1A,RASD1,REL,UGT2B7	
Zymosterol Biosynthesis	2.29E00	3.33E-01	NaN	NSDHL,TM7SF2	
PXR/RXR Activation	2.26E00	8.33E-02	NaN	ABCB11,Aldh1a7,CPT1A,CYP2C8,PPARGC1A	
FXR/RXR Activation	2.2E00	6.09E-02	NaN	ABCB11,APOA4,FOXA3,MLXIPL,PPARGC1A,SLC22A7,SREBF1	
Aryl Hydrocarbon Receptor Signaling	2.14E00	5.41E-02	NaN	CYP1A1,CYP2C18,Cyp2c70,CYP2C8,DCT,Gstm3,Gstm6,REL	
Vitamin-C Transport	2.04E00	1.3E-01	NaN	AKR1C4,LRRC8C,STOM	
Mineralocorticoid Biosynthesis	2.03E00	2.5E-01	NaN	HSD3B1,Hsd3b4 (includes others)	
Ketolysis	1.93E00	2.22E-01	NaN	BDH2,HADHB	
Glucocorticoid Biosynthesis	1.93E00	2.22E-01	NaN	HSD3B1,Hsd3b4 (includes others)	
GDP-glucose Biosynthesis	1.93E00	2.22E-01	NaN	GCK,PGM3	
Adipogenesis pathway	1.9E00	5.34E-02	NaN	FGFR2,HDAC11,HDAC5,SMAD9,SREBF1,STAT5B,TXNIP	
Xenobiotic Metabolism General Signaling Pathway	1.89E00	5.3E-02	-1.890	ABCA2,GCLC,Gstm3,Gstm6,MAP3K4,RASD1,UGT2B7	
Glucose and Glucose-1-phosphate Degradation	1.84E00	2E-01	NaN	GCK,PGM3	
γ-glutamyl Cycle	1.84E00	2E-01	NaN	GCLC,OPLAH	
Estrogen-Dependent Breast Cancer Signaling	1.81E00	6.49E-02	NaN	AKR1C4,HSD17B2,RASD1,REL,STAT5B	
Xenobiotic Metabolism AHR Signaling Pathway	1.77E00	6.33E-02	-1.000	CYP1A1,Gstm3,Gstm6,HDAC5,REL	
Ketogenesis	1.75E00	1.82E-01	NaN	BDH2,HADHB	
Stearate Biosynthesis I (Animals)	1.75E00	7.55E-02	1.000	ACOT2,BDH2,CYP4A11,SLC27A1	
Acetyl-CoA Biosynthesis III (from Citrate)	1.72E00	1E00	NaN	ACLY	
Lanosterol Biosynthesis	1.72E00	1E00	NaN	LSS	
BAG2 Signaling Pathway	1.72E00	6.17E-02	NaN	HSPA1A/HSPA1B,Hspa1b,HSPA8,PSMD9,REL	
Bladder Cancer Signaling	1.68E00	5.31E-02	NaN	CDH1,FGF21,HDAC11,HDAC5,MMP15,RASD1	
UDP-N-acetyl-D-galactosamine Biosynthesis II	1.68E00	1.67E-01	NaN	GCK,PGM3	
Coagulation System	1.55E00	8.57E-02	NaN	F11,SERPINE1,THBD	
IL-9 Signaling	1.55E00	8.57E-02	NaN	REL,SOCS3,STAT5B	
Role of PKR in Interferon Induction and Antiviral Response	1.53E00	4.88E-02	NaN	HSPA1A/HSPA1B,Hspa1b,HSPA8,MARCO,NLRP12,REL	
Superpathway of Citrulline Metabolism	1.49E00	1.33E-01	NaN	ASL,OAT	
L-DOPA Degradation	1.43E00	5E-01	NaN	COMT	
L-cysteine Degradation III	1.43E00	5E-01	NaN	GOT1	
Cardiolipin Biosynthesis II	1.43E00	5E-01	NaN	PTPMT1	
HIF1α Signaling	1.42E00	3.98E-02	-1.414	ADRA1B,GCK,HSPA1A/HSPA1B,Hspa1b,HSPA8,MMP15,RASD1,SERPINE1	
