© 2000-2021 QIAGEN. All rights reserved.

Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	p-value of overlap	B-H corrected p-value	Target Molecules in Dataset	Mechanistic Network
IL1B	 	cytokine	 	0.093	4.66E-10	2.14E-07	ADAMTS1,DDIT4,ERRFI1,NFKBIA,SERPINA3,SERPINF2,SOCS3,TXNIP,ZFP36	 
NR3C1	 	ligand-dependent nuclear receptor	 	-1.400	2.86E-07	6.56E-05	ANGPTL4,APOA2,CEBPD,DDIT4,ERRFI1,NFKBIA,PFKFB3,SERPINA1	 
Hmgn3	 	other	 	1.982	1.61E-06	2.46E-04	AHSG,APOA2,AZGP1,SERPINA1	 
ZMPSTE24	 	peptidase	 	1.154	7.40E-06	8.49E-04	CISH,DDIT4,GADD45G,SOCS3	 
ZBTB20	 	transcription regulator	 	-0.762	1.13E-05	1.04E-03	CISH,CYP3A5,NFKBIA,SOCS3	 
TLR4	 	transmembrane receptor	 	0.038	1.63E-05	1.11E-03	CEBPD,CISH,CYP3A5,GADD45G,NFKBIA,PLK2,SOCS3	7 (3)
CASR	 	G-protein coupled receptor	 	-1.342	1.70E-05	1.11E-03	CISH,GADD45G,SERPINA1,SOCS3,TXNIP	 
METTL3	 	enzyme	 	 	2.29E-05	1.31E-03	CISH,SOCS3	2 (2)
G protein alphai	 	group	 	1.000	4.33E-05	2.21E-03	ADAMTS1,CEBPD,NR4A3,SOCS3	 
LEPR	 	transmembrane receptor	 	 	6.48E-05	2.97E-03	ANGPTL4,APOA2,GADD45G,SOCS3,TP53INP1	 
BMP10	 	growth factor	Activated	2.000	9.26E-05	3.68E-03	AHSG,ANGPTL4,NR4A3,SERPINA3	 
IFIH1	 	enzyme	 	 	9.62E-05	3.68E-03	CISH,NFKBIA,RND3	 
CREM	 	transcription regulator	 	-1.067	1.21E-04	4.26E-03	APOLD1,CIART,ERRFI1,Pln	 
FLT1	 	kinase	 	 	1.59E-04	4.87E-03	APLNR,DEPP1	 
VDR	 	transcription regulator	 	-1.342	1.59E-04	4.87E-03	CISH,GADD45G,SERPINA1,SOCS3,TXNIP	 
IL1A	 	cytokine	 	 	2.68E-04	7.69E-03	ADAMTS1,CYP3A5,SERPINA3	 
GNAS	 	enzyme	 	 	2.86E-04	7.73E-03	ADAMTS1,ARL4D,NR4A3	 
YY1	 	transcription regulator	 	 	3.35E-04	8.53E-03	DDIT4,GADD45G,KLF2,RND3,TP53INP1	 
TGFBR2	 	kinase	 	0.447	3.80E-04	8.93E-03	DDIT4,FGG,GADD45G,NFKBIA,SOCS3	 
MAPKAPK2	 	kinase	 	 	3.89E-04	8.93E-03	CEBPD,NFKBIA,ZFP36	 
TICAM1	 	other	 	-0.882	4.21E-04	9.20E-03	CEBPD,NFKBIA,RHOB,SOCS3	 
ADIPOQ	 	other	Activated	2.000	4.88E-04	1.02E-02	APOA2,Apoc1,CYP3A5,NFKBIA	 
OSMR	 	transmembrane receptor	 	 	5.13E-04	1.02E-02	CISH,SOCS3,ZFP36	 
ELANE	 	peptidase	 	 	5.85E-04	1.09E-02	CEBPD,SERPINA1	 
MAP3K8	 	kinase	 	-1.000	5.93E-04	1.09E-02	ARRDC3,CEBPD,SOCS3,TXNIP	 
Ptprd	 	phosphatase	 	 	6.81E-04	1.16E-02	CEBPD,GADD45G	 
NFKBIB	 	transcription regulator	 	 	6.81E-04	1.16E-02	NFKBIA,TP53INP1	 
STAT5A	 	transcription regulator	 	 	7.33E-04	1.16E-02	CISH,GADD45G,SOCS3,ZFP36	 
LEP	 	growth factor	 	1.451	7.38E-04	1.16E-02	ANGPTL4,APOA2,CYP3A5,Pln,SOCS3	 
OSM	 	cytokine	 	 	7.58E-04	1.16E-02	CISH,SOCS3,ZFP36	3 (2)
CD38	 	enzyme	 	0.927	7.91E-04	1.17E-02	CISH,ELL2,GADD45G,SOCS3	 
IRAK4	 	kinase	 	 	8.30E-04	1.19E-02	ERRFI1,NFKBIA,ZFP36	 
HIF1A	 	transcription regulator	 	-1.091	1.01E-03	1.40E-02	DDIT4,NFKBIA,PFKFB3,SOCS3	 
COMMD1	 	transporter	 	 	1.14E-03	1.53E-02	DDIT4,PFKFB3	 
MTOR	 	kinase	 	1.103	1.26E-03	1.66E-02	DDIT4,SERPINA1,SOCS3,TXNIP	 
