© 2000-2021 QIAGEN. All rights reserved.

Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	Flags	p-value of overlap	B-H corrected p-value	Target Molecules in Dataset	Mechanistic Network
Hmgn3	 	other	Activated	2.630	bias	1.44E-13	1.33E-10	AHSG,AMBP,APOA1,APOA2,AZGP1,FGA,KNG1,Mup1 (includes others),SERPINA1,TTR	 
IL1B	 	cytokine	 	-0.695	 	2.44E-10	1.14E-07	ADAMTS1,CSF1,DDIT4,ERRFI1,MYOD1,NFKBIA,PLAU,SERPINA3,SERPINF2,SLC25A25,SOCS3,TSC22D3,UCP3,ZFP36	24 (4)
HMGN1	 	transcription regulator	 	 	 	2.26E-09	7.01E-07	AZGP1,EGFL7,FGA,G0S2,KNG1,Mup1 (includes others),TTR	 
PPARA	 	ligand-dependent nuclear receptor	Inhibited	-2.936	 	1.13E-07	2.63E-05	ALDOB,ANGPTL4,APOA1,C8A,C9,CEBPD,CES3,FGA,FGG,G0S2,HPX,Mup1 (includes others),NFKBIA,PAH,RBP7,SOCS2,UCP3	 
ZMPSTE24	 	peptidase	 	0.301	 	1.83E-07	2.91E-05	CISH,DDIT4,GADD45B,GADD45G,SOCS1,SOCS2,SOCS3	 
LEPR	 	transmembrane receptor	 	0.478	 	1.88E-07	2.91E-05	ANGPTL4,APOA1,APOA2,GADD45B,GADD45G,Mup1 (includes others),SOCS2,SOCS3,TP53INP1,TPRA1,TSC22D3	 
NR3C1	 	ligand-dependent nuclear receptor	Inhibited	-2.188	 	3.60E-07	4.78E-05	ANGPTL4,APOA2,CEBPD,DDIT4,ERRFI1,NFKBIA,PFKFB3,SERPINA1,SGK1,SLC43A1,TIMP4,TSC22D3,USP54	16 (2)
STAT	 	group	 	 	 	7.96E-07	7.69E-05	BCL2L1,SOCS1,SOCS3	 
METTL3	 	enzyme	 	 	 	7.96E-07	7.69E-05	CISH,SOCS1,SOCS3	17 (5)
ACOX1	 	enzyme	 	1.961	 	8.27E-07	7.69E-05	ADAMTS1,AKR1C4,C4bp,C9,CES3,FAM214A,Mup1 (includes others),PAH,SERPINA1,SGK1	 
STAT5B	 	transcription regulator	 	0.587	 	1.04E-06	8.79E-05	A1BG,Aox3,BCL2L1,C9,CISH,CYP3A5,G0S2,GADD45B,Mup1 (includes others),SOCS2,UGT2B28,ZFP36	 
TLR4	 	transmembrane receptor	 	0.239	 	3.86E-06	2.99E-04	CEBPD,CISH,CYP3A5,DLL4,GADD45G,HMOX1,IFI16,LILRB4,NFKBIA,PLK2,SAP30,SOCS1,SOCS3	36 (4)
TLR9	 	transmembrane receptor	 	1.054	bias	5.54E-06	3.96E-04	BCL2L1,CISH,CSF1,GADD45B,HMOX1,IFI16,LILRB4,PFKFB3,SOCS1,SOCS3	26 (4)
STEAP3	 	transporter	 	0.816	bias	6.81E-06	4.52E-04	CCN2,ERRFI1,KLF15,NR4A3,S1PR1,TNFRSF12A	 
TNF	 	cytokine	 	1.063	 	9.03E-06	5.59E-04	ALB,BCL2L1,CEBPD,CSF1,F3,HMOX1,MYOD1,NFKBIA,PDGFB,PLAU,SERPINA3,SOCS3,TSC22D3	40 (7)
IKBKB	 	kinase	 	-0.263	 	1.20E-05	6.98E-04	ANKRD1,BCL2L1,CCN2,CEBPD,CSF1,HMOX1,IFI16,NFKBIA,SGK1,SOCS3	37 (5)
HIF1A	 	transcription regulator	 	0.423	 	1.86E-05	1.02E-03	CCN2,CSF1,DDIT4,NFKBIA,NRARP,PDGFA,PDGFB,PFKFB3,SOCS3	23 (4)
ID2	 	transcription regulator	 	-0.113	 	2.04E-05	1.06E-03	BCL2L1,CSF1,DLL4,GADD45B,GADD45G,IKZF2,NR4A3,PDGFA,SOCS3,TNFRSF19	 
FLT1	 	kinase	 	 	 	2.71E-05	1.26E-03	APLNR,DEPP1,DLL4	 
GPD1	 	enzyme	 	 	 	2.81E-05	1.26E-03	Aox3,C8A,C9,Mug1/Mug2,Mup1 (includes others),PFKFB3,SERPINA3	 
LEP	 	growth factor	 	0.526	 	3.04E-05	1.26E-03	ALDOB,ANGPTL4,APOA1,APOA2,BCL2L1,CYP3A5,F3,Pln,SLC27A5,SOCS3,TPRA1	 
ADIPOQ	 	other	 	1.979	 	3.18E-05	1.26E-03	APOA1,APOA2,Apoc1,CYP3A5,HMOX1,Mup1 (includes others),NFKBIA,SLC27A5	 
SLC25A13	 	transporter	 	 	 	3.22E-05	1.26E-03	Aox3,C8A,C9,Mug1/Mug2,Mup1 (includes others),PFKFB3,SERPINA3	 
TP53	 	transcription regulator	 	-0.195	 	3.25E-05	1.26E-03	ANKRD1,APOA1,BCL2L1,CCN2,CSF1,DDIT4,GADD45B,GADD45G,HMOX1,IFI16,LIMA1,NRARP,PDGFA,PDGFB,PLAU,PLK2,Pln,RHOB,RRAD,SERPINA3,SGK1,SLC6A6,TP53INP1,TSC22D3,UCP3	35 (4)
