© 2000-2021 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
LPS/IL-1 Mediated Inhibition of RXR Function	9.66E00	1.36E-01	0.832	ABCB11,ABCG5,ABCG8,ACSL3,ACSM1,ALAS1,CD14,CPT1A,CRAT,CYP2C18,Cyp2c70,CYP2C8,CYP2R1,CYP2U1,CYP4A11,Cyp4a14,CYP7A1,FABP2,FMO2,GSTA5,GSTM2,Gstm3,Gstm6,HMGCS1,IL1A,IL1B,NR0B2,SLC27A1,SREBF1,SULT1C2,TNF	
Superpathway of Cholesterol Biosynthesis	8.81E00	3.93E-01	-2.714	ACAT2,DHCR7,FDFT1,FDPS,HADHB,HMGCS1,LSS,MVK,NSDHL,PMVK,SC5D	
NRF2-mediated Oxidative Stress Response	8.8E00	1.32E-01	1.134	CDC34,CYP1A1,CYP1A2,CYP2C18,Cyp2c70,CYP2C8,CYP2R1,CYP2U1,CYP4A11,Cyp4a14,DNAJA1,DNAJB1,DNAJB4,FKBP5,GCLC,GSTA5,GSTM2,Gstm3,Gstm6,HACD3,HMOX1,HSP90AA1,HSP90AB1,HSPB8,JUNB,NQO2,PIK3R1,PRKD3,STIP1	
Aryl Hydrocarbon Receptor Signaling	7.07E00	1.42E-01	0.333	CDKN1A,CYP1A1,CYP1A2,CYP2C18,Cyp2c70,CYP2C8,DCT,GSTA5,GSTM2,Gstm3,Gstm6,HSP90AA1,HSP90AB1,HSPB1,IL1A,IL1B,MYC,NQO2,NR0B2,TNF,TRIP11	
PXR/RXR Activation	6.76E00	2.17E-01	NaN	ABCB11,ALAS1,Aldh1a7,CPT1A,CYP1A2,CYP2C8,CYP7A1,G6PC,GSTM2,HNF4A,IGFBP1,NR0B2,TNF	
Acetone Degradation I (to Methylglyoxal)	6.28E00	3.1E-01	-1.414	CYP1A1,CYP1A2,CYP2C18,CYP2C8,CYP2U1,CYP4A11,CYP4B1,POR,PTGR1	
Nicotine Degradation II	6.23E00	2.14E-01	-2.309	Aox3,CYP1A1,CYP1A2,CYP2C18,CYP2C8,CYP2U1,CYP4B1,FMO2,POR,UGT2B17,UGT2B28,UGT2B7	
Xenobiotic Metabolism AHR Signaling Pathway	6.1E00	1.77E-01	-1.069	CYP1A1,CYP1A2,GSTA5,GSTM2,Gstm3,Gstm6,HDAC5,HSP90AA1,HSP90AB1,IL1A,IL1B,NQO2,SENP1,TNF	
Nicotine Degradation III	6.07E00	2.29E-01	-2.714	Aox3,CYP1A1,CYP1A2,CYP2C18,CYP2C8,CYP2U1,CYP4B1,POR,UGT2B17,UGT2B28,UGT2B7	
Xenobiotic Metabolism Signaling	5.88E00	1.02E-01	NaN	CITED2,CYP1A1,CYP1A2,CYP2C8,FMO2,GCLC,GSTA5,GSTM2,Gstm3,Gstm6,HDAC5,HMOX1,HSP90AA1,HSP90AB1,IL1A,IL1B,MAP3K13,MAP3K4,MAP3K8,NQO2,PIK3R1,PRKD3,SULT1C2,TNF,UGT2B17,UGT2B28,UGT2B7	
Melatonin Degradation I	5.35E00	2.17E-01	-2.530	CYP1A1,CYP1A2,CYP2C18,CYP2C8,CYP2U1,CYP4B1,POR,UGT2B17,UGT2B28,UGT2B7	
Bupropion Degradation	5.08E00	3.18E-01	-1.890	CYP1A1,CYP1A2,CYP2C18,CYP2C8,CYP2U1,CYP4B1,POR	
Superpathway of Melatonin Degradation	4.92E00	1.96E-01	-2.530	CYP1A1,CYP1A2,CYP2C18,CYP2C8,CYP2U1,CYP4B1,POR,UGT2B17,UGT2B28,UGT2B7	
FXR/RXR Activation	4.77E00	1.3E-01	NaN	ABCB11,ABCG5,ABCG8,APOA4,CYP7A1,FOXA1,FOXA2,FOXA3,G6PC,HNF4A,IL1A,IL1B,NR0B2,SREBF1,TNF	
Unfolded protein response	4.75E00	1.46E-01	0.333	CEBPB,CEBPE,DDIT3,DNAJA1,DNAJB1,DNAJB4,ERN1,HSPA1A/HSPA1B,Hspa1b,HSPA8,HSPH1,SREBF1,XBP1	
Superpathway of Geranylgeranyldiphosphate Biosynthesis I (via Mevalonate)	4.72E00	3.53E-01	-1.633	ACAT2,FDPS,HADHB,HMGCS1,MVK,PMVK	
Xenobiotic Metabolism General Signaling Pathway	4.65E00	1.21E-01	-2.500	ABCA2,GCLC,GSTA5,GSTM2,Gstm3,Gstm6,HMOX1,MAP3K13,MAP3K4,MAP3K8,NQO2,PIK3R1,PRKD3,UGT2B17,UGT2B28,UGT2B7	
Cholesterol Biosynthesis I	4.21E00	3.85E-01	-2.236	DHCR7,FDFT1,LSS,NSDHL,SC5D	
Mevalonate Pathway I	4.21E00	3.85E-01	-1.342	ACAT2,HADHB,HMGCS1,MVK,PMVK	
Cholesterol Biosynthesis II (via 24,25-dihydrolanosterol)	4.21E00	3.85E-01	-2.236	DHCR7,FDFT1,LSS,NSDHL,SC5D	
Cholesterol Biosynthesis III (via Desmosterol)	4.21E00	3.85E-01	-2.236	DHCR7,FDFT1,LSS,NSDHL,SC5D	
Estrogen Biosynthesis	4.2E00	2.05E-01	-2.121	CYP1A1,CYP1A2,CYP2C18,CYP2C8,CYP2U1,CYP4B1,HSD17B2,POR	
VDR/RXR Activation	3.96E00	1.41E-01	1.633	CD14,CDKN1A,CEBPB,GADD45A,HES1,HSD17B2,IGFBP1,KLF4,PDGFA,PRKD3,THBD	
Role of PKR in Interferon Induction and Antiviral Response	3.84E00	1.14E-01	0.000	ATF3,CASP3,HSP90AA1,HSP90AB1,HSPA1A/HSPA1B,Hspa1b,HSPA8,IL1B,MAVS,NFKBIA,NLRP12,NLRP3,PDGFA,TNF	
Aldosterone Signaling in Epithelial Cells	3.67E00	1.01E-01	NaN	DNAJA1,DNAJB1,DNAJB4,DUSP1,HSP90AA1,HSP90AB1,HSPA1A/HSPA1B,HSPA4L,HSPA8,HSPB1,HSPB8,HSPE1,HSPH1,PIK3R1,PLCB2,PRKD3	
IL-9 Signaling	3.67E00	2E-01	-0.816	BCL3,CISH,IRS2,PIK3R1,SOCS3,STAT5B,TNF	
Hepatic Cholestasis	3.59E00	9.55E-02	NaN	ABCB11,ABCG5,ABCG8,ATP8B1,CD14,CYP7A1,HNF4A,HSD3B7,IL1A,IL1B,MAP3K4,NFKBIA,NR0B2,PPRC1,PRKD3,SREBF1,TNF	
