© 2000-2021 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Autophagy	4.79E00	9.71E-02	-0.894	AKT3,BCL2,Calm1 (includes others),DAPK1,ERN1,FGF2,FUNDC1,GABARAPL1,IRS2,MYC,MYD88,PLEKHM1,PPM1L,PPP2R3A,PRKACA,PRKAG3,RALA,RIPK1,SLC1A5,TNFRSF1B	
STAT3 Pathway	4.41E00	1.11E-01	-1.387	BCL2,BMPR1A,CISH,FGF2,GHR,IL17RD,IL2RG,IL7R,MYC,PTPN6,RALA,SOCS1,SOCS2,SOCS3,TGFBR2	
D-myo-inositol-5-phosphate Metabolism	3.92E00	9.29E-02	0.832	DUSP14,DUSP4,ITPK1,MTMR4,MTMR7,PIP4P1,PLCD4,PLPP7,PPM1L,PPP1R10,PPP1R14C,PPP1R16B,PPP2R3A,PPTC7,PTPN6,PTPRC,SOCS3	
ERK/MAPK Signaling	3.78E00	8.74E-02	0.500	DUSP4,EIF4EBP1,ELF1,ESR1,H3-3A/H3-3B,HSPB1,ITGB6,MYC,PPARG,PPM1L,PPP1R10,PPP1R14C,PPP2R3A,PRKACA,PRKCB,PTK2B,RALA,RPS6KA5	
Acute Phase Response Signaling	3.71E00	9.25E-02	1.291	AKT3,FGG,FTL,HMOX1,MAP3K14,MYD88,NFKBIE,OSMR,RALA,RIPK1,SERPINA3,SERPINE1,SOCS1,SOCS2,SOCS3,TNFRSF1B	
3-phosphoinositide Degradation	3.54E00	8.94E-02	1.155	DUSP14,DUSP4,ITPK1,MTMR4,MTMR7,PIP4P1,PLPP7,PPM1L,PPP1R10,PPP1R14C,PPP1R16B,PPP2R3A,PPTC7,PTPN6,PTPRC,SOCS3	
Superpathway of Inositol Phosphate Compounds	3.39E00	8.11E-02	0.535	DUSP14,DUSP4,ITPK1,MTMR4,MTMR7,PIP4K2B,PIP4P1,PLCD4,PLPP7,PPM1L,PPP1R10,PPP1R14C,PPP1R16B,PPP2R3A,PPTC7,PTPN6,PTPRC,SOCS3	
D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis	3.38E00	8.98E-02	0.905	DUSP14,DUSP4,ITPK1,MTMR4,MTMR7,PLPP7,PPM1L,PPP1R10,PPP1R14C,PPP1R16B,PPP2R3A,PPTC7,PTPN6,PTPRC,SOCS3	
D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis	3.38E00	8.98E-02	0.905	DUSP14,DUSP4,ITPK1,MTMR4,MTMR7,PLPP7,PPM1L,PPP1R10,PPP1R14C,PPP1R16B,PPP2R3A,PPTC7,PTPN6,PTPRC,SOCS3	
Role of JAK2 in Hormone-like Cytokine Signaling	3.27E00	1.88E-01	NaN	GHR,IRS2,PTPN6,SOCS1,SOCS2,SOCS3	
Glucocorticoid Receptor Signaling	3.26E00	6.15E-02	NaN	AKT3,BCL2,ESR1,FGG,GHR,GTF2B,H3-3A/H3-3B,HLA-DOB,HSPA1A/HSPA1B,Hspa1b,IL17RD,IL2RG,IL7R,MAP3K14,MYC,NFKBIE,NR3C2,PFKFB1,PPARG,PRKACA,PRKAG3,RALA,RARB,RARG,RPS6KA5,RXRG,SERPINE1,SGK1,SMAD3,TGFBR2,TLR2,UBE2I	
3-phosphoinositide Biosynthesis	3.18E00	8.29E-02	0.577	DUSP14,DUSP4,ITPK1,MTMR4,MTMR7,PIP4K2B,PLPP7,PPM1L,PPP1R10,PPP1R14C,PPP1R16B,PPP2R3A,PPTC7,PTPN6,PTPRC,SOCS3	
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages	3.09E00	8.43E-02	3.207	AKT3,APOD,IRF1,MAP3K14,MAP3K8,NFKBIE,PPM1L,PPP1R10,PPP1R14C,PPP2R3A,PRKCB,PTPN6,RHOH,TLR2,TNFRSF1B	
B Cell Receptor Signaling	3.09E00	8.43E-02	1.069	AKT3,BCL6,Calm1 (includes others),CD79B,GAB2,MAP3K14,MAP3K8,MEF2C,NFKBIE,PRKCB,PTK2B,PTPN6,PTPRC,RALA,VAV1	
IL-9 Signaling	3.05E00	1.71E-01	0.000	BCL3,CISH,IL2RG,IRS2,SOCS2,SOCS3	
Osteoarthritis Pathway	2.89E00	7.56E-02	0.577	BMPR1A,DDIT4,FGF2,ITGB6,LEF1,LEP,MEF2C,P2RX7,PPARG,PPARGC1A,PRKAG3,S100A9,SMAD3,Tcf7,TGFBR2,TLR2,TNFRSF1B	
Adipogenesis pathway	2.89E00	9.16E-02	NaN	BMPR1A,FBXW7,FGF2,HDAC2,HDAC9,KLF3,KMT2B,LEP,PPARG,SAP30,SMAD3,WNT5A	
Wnt/β-catenin Signaling	2.87E00	8.33E-02	0.000	AKT3,LEF1,MAP4K1,MYC,PPM1L,PPP2R3A,RARB,RARG,SOX18,SOX4,SOX7,Tcf7,TGFBR2,WNT5A	
Hepatic Fibrosis Signaling Pathway	2.69E00	6.17E-02	1.633	AKT3,BCL2,Calm1 (includes others),FGF2,FTL,IRS2,ITGB6,LEF1,LEP,MYC,MYD88,NFKBIE,PPARG,PRKACA,PRKCB,RALA,RHOH,RIPK1,SERPINE1,SMAD3,Tcf7,TFRC,TGFBR2,TNFRSF1B,WNT5A	
PI3K/AKT Signaling	2.65E00	7.61E-02	2.121	AKT3,BCL2,EIF4EBP1,GAB2,GHR,IL17RD,IL2RG,IL7R,ITGB6,MAP3K8,NFKBIE,PPM1L,PPP2R3A,RALA,THEM4	
PI3K Signaling in B Lymphocytes	2.61E00	8.51E-02	1.265	AKT3,ATF3,Calm1 (includes others),CD180,CD79B,IRS2,NFKBIE,PLCD4,PRKCB,PTPRC,RALA,VAV1	
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	2.51E00	6.49E-02	NaN	AKT3,Calm1 (includes others),CSF1,FGF2,IL16,LEF1,MAP3K14,MYC,MYD88,NFKBIE,PLCD4,PRKCB,RALA,RIPK1,SOCS1,SOCS3,Tcf7,TLR2,TNFRSF1B,WNT5A	
BEX2 Signaling Pathway	2.46E00	1.05E-01	2.828	AKT3,BCL2,ITGB6,LDB1,LEF1,PPM1L,PPP2R3A,Tcf7	
IL-7 Signaling Pathway	2.43E00	1.04E-01	1.633	AKT3,BCL2,BCL6,CXCR5,IL2RG,IL7R,MYC,SOCS1	
Type II Diabetes Mellitus Signaling	2.39E00	8E-02	1.134	AKT3,CACNA1I,IRS2,MAP3K14,NFKBIE,PPARG,PRKAG3,PRKCB,SOCS1,SOCS2,SOCS3,TNFRSF1B	
Iron homeostasis signaling pathway	2.37E00	8.33E-02	NaN	ALAS2,ATP6AP2,ATP6V1A,BMPR1A,CIAO2A,FLVCR1,FTL,HMOX1,MMS19,SMAD3,TFRC	
Xenobiotic Metabolism General Signaling Pathway	2.37E00	8.33E-02	1.508	AHR,AKT3,FTL,HMOX1,MAF,MAP3K14,MAP3K8,NFE2L2,NQO2,PRKCB,RALA	
IL-12 Signaling and Production in Macrophages	2.25E00	8.47E-02	NaN	AKT3,APOD,IRF1,MAF,MAP3K8,MYD88,NFKBIE,PPARG,PRKCB,TLR2	
Insulin Receptor Signaling	2.23E00	7.97E-02	-0.333	AKT3,EIF4EBP1,GRB10,IRS2,PPP1R10,PPP1R14C,PRKACA,RALA,SGK1,SOCS3,STXBP4	
NRF2-mediated Oxidative Stress Response	2.22E00	6.85E-02	2.309	BACH1,CYP4A11,DNAJB1,FTL,GCLM,HACD3,HMOX1,MAF,MAFF,MAFG,MAFK,NFE2L2,NQO2,PRKCB,RALA	
IGF-1 Signaling	2.19E00	8.82E-02	-1.414	AKT3,GRB10,IGFBP5,IRS2,PRKACA,RALA,SOCS1,SOCS2,SOCS3	
Telomerase Signaling	2.16E00	8.74E-02	1.890	AKT3,ELF1,HDAC2,HDAC9,IL2RG,MYC,PPM1L,PPP2R3A,RALA	
Growth Hormone Signaling	2.16E00	1.03E-01	-1.890	GHR,PRKCB,PTPN6,RPS6KA5,SOCS1,SOCS2,SOCS3	
Role of JAK1 and JAK3 in γc Cytokine Signaling	2.16E00	1.03E-01	NaN	IL2RG,IL7R,IRS2,PTK2B,RALA,SOCS1,SOCS3	
Cardiac Hypertrophy Signaling (Enhanced)	2.12E00	5.38E-02	0.000	AKT3,Calm1 (includes others),EIF4EBP1,FGF2,GHR,GNG11,HDAC2,HDAC9,HSPB1,IL17RD,IL2RG,IL7R,ITGB6,LEP,MAP3K14,MAP3K8,MEF2C,MYC,PDE4A,PLCD4,PRKACA,PRKCB,PRKG1,RALA,RPS6KA5,TGFBR2,TNFRSF1B,WNT5A	
PPARα/RXRα Activation	2.1E00	7.07E-02	0.632	BCL3,GHR,MAP3K14,MEF2C,NFKBIE,PLCD4,PPARGC1A,PRKACA,PRKAG3,PRKCB,RALA,SMAD3,TGFBR2	
Unfolded protein response	2.05E00	8.99E-02	1.890	BCL2,DNAJB1,ERN1,HSPA1A/HSPA1B,Hspa1b,NFE2L2,PPARG,SYVN1	
Primary Immunodeficiency Signaling	1.97E00	1.22E-01	NaN	CD8A,CIITA,IL2RG,IL7R,PTPRC	
TGF-β Signaling	1.91E00	8.51E-02	0.378	BCL2,BMPR1A,MAP4K1,RALA,SERPINE1,SMAD3,TGFBR2,TGIF1	
Bladder Cancer Signaling	1.91E00	7.96E-02	-1.000	DAPK1,FGF2,HDAC2,HDAC9,MYC,RALA,RASSF1,RPS6KA5,THBS1	
eNOS Signaling	1.91E00	7.19E-02	-1.414	AKT3,AQP4,Calm1 (includes others),ESR1,HSPA1A/HSPA1B,Hspa1b,PRKACA,PRKAG3,PRKCB,PRKG1,SLC7A1	
B Cell Development	1.9E00	1.43E-01	NaN	CD79B,HLA-DOB,IL7R,PTPRC	
