© 2000-2021 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
LPS/IL-1 Mediated Inhibition of RXR Function	8.51E00	9.65E-02	0.000	ABCB11,ABCG8,CD14,CPT1A,CRAT,CYP2C18,Cyp2c70,CYP2C8,CYP2R1,CYP4A11,Cyp4a14,CYP7A1,FABP2,FMO2,GSTM2,Gstm6,GSTT2/GSTT2B,IL18,IL1A,IL1B,PPARGC1A,SLC27A1	
NRF2-mediated Oxidative Stress Response	8.11E00	9.59E-02	0.000	CYP1A1,CYP1A2,CYP2C18,Cyp2c70,CYP2C8,CYP2R1,CYP4A11,Cyp4a14,DNAJA1,DNAJB1,DNAJB4,DNAJC11,GCLC,GSTM2,Gstm6,GSTT2/GSTT2B,HACD3,HSP90AA1,HSPB8,JUND,PRKCD	
Estrogen Biosynthesis	7.06E00	2.31E-01	-1.000	AKR1C4,CYP1A1,CYP1A2,CYP2C18,CYP2C8,CYP4B1,HSD17B11,HSD17B13,POR	
Acetone Degradation I (to Methylglyoxal)	5.75E00	2.41E-01	-1.134	CYP1A1,CYP1A2,CYP2C18,CYP2C8,CYP4A11,CYP4B1,POR	
Nicotine Degradation II	5.64E00	1.61E-01	-1.667	Aox3,CYP1A1,CYP1A2,CYP2C18,CYP2C8,CYP4B1,FMO2,POR,UGT2B17	
Unfolded protein response	5.59E00	1.24E-01	0.816	DDIT3,DNAJA1,DNAJB1,DNAJB4,DNAJC11,EDEM1,ERN1,HSPA1A/HSPA1B,Hspa1b,HSPA8,HSPH1	
PXR/RXR Activation	5.38E00	1.5E-01	NaN	ABCB11,Aldh1a7,CPT1A,CYP1A2,CYP2C8,CYP7A1,GSTM2,NR3C1,PPARGC1A	
Bupropion Degradation	5.34E00	2.73E-01	-1.633	CYP1A1,CYP1A2,CYP2C18,CYP2C8,CYP4B1,POR	
Nicotine Degradation III	5.2E00	1.67E-01	-2.121	Aox3,CYP1A1,CYP1A2,CYP2C18,CYP2C8,CYP4B1,POR,UGT2B17	
Superpathway of Cholesterol Biosynthesis	4.68E00	2.14E-01	-1.633	ACAT2,DHCR7,FDPS,HADHB,LSS,SC5D	
FXR/RXR Activation	4.51E00	9.57E-02	NaN	ABCB11,ABCB4,ABCG8,APOA4,CYP7A1,FOXA3,IL18,IL1A,IL1B,PPARGC1A,SLC22A7	
