© 2000-2021 QIAGEN. All rights reserved.

Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	p-value of overlap	B-H corrected p-value	Target Molecules in Dataset	Mechanistic Network
POR	0.859	enzyme	Activated	2.165	1.50E-20	3.99E-17	ACAT2,ACLY,Acot1,ACTG1,ADH4,AHR,Akr1c14,APOA4,AQP8,ARNT,CYB5B,CYP1A1,CYP1A2,CYP2C18,CYP2C8,CYP4A11,CYP7A1,DHCR7,ECI1,EHHADH,ELOVL3,ELOVL5,ETHE1,FABP2,FDPS,FGL1,GCK,GSTA3,GSTA5,GSTM1,Gstm3,Gstm6,HADHB,HMGCS1,HMOX1,HSD17B10,HSD17B11,HSD3B1,Hsd3b4 (includes others),HSPH1,INSIG1,LSS,MAP3K6,MVK,NR0B2,NRG4,NSDHL,PDK4,PMVK,POR,PRNP,RETSAT,SC5D,SERPINA3,SLC23A2,TM7SF2,TMEM97,VEGFA,VNN1	 
NFE2L2	 	transcription regulator	Activated	2.514	2.69E-18	3.60E-15	ABCB11,ABCC1,ACTG1,AHR,ALDOA,ANG,APBA3,APCS,APOA4,ARHGEF3,ATF3,CA3,Ccl2,CCT3,CCT7,CDC34,CEBPA,CELA1,Ces1g,CHORDC1,CLPP,COL3A1,CXCL10,CXCL2,CXCL3,Cyp2a12/Cyp2a22,Cyp4a14,DDX39B,DHCR7,DYNLL1,FKBP5,FOXO3,GAS2,GCLC,GHR,GNA11,GNA14,GSTA3,Gsta4,GSTA5,GSTM1,Gstm3,Gstm6,GSTT2/GSTT2B,HACD3,HMOX1,HSD3B1,HSP90AA1,HSP90AB1,ICAM1,IDH1,IL1A,IL1B,IL1RN,INMT,LY6E,MGLL,MORF4L2,NAT8B,NGEF,NR0B2,NUCB2,OAT,PAFAH1B1,Pmaip1,PSMA7,PSMB4,PSMC1,PSMC3,PSMD12,PSMD3,RRS1,SAA1,SERPINA3,SLC16A2,SOCS3,SREBF1,SRXN1,STIP1,SYT1,TKT,TNF,TXNRD1,UGT2B28,VEGFA,XBP1	355 (15)
PPARA	 	ligand-dependent nuclear receptor	Activated	2.196	2.21E-17	1.97E-14	AADAC,ABCB11,ABCG5,ABCG8,ACAA1,Acaa1b,ACADM,ACAT2,Acot1,ACOT2,Acot5,ANGPTL4,APCS,APOA4,AQP8,ASL,Ccl2,CDK2,CEBPA,CEBPB,CYB5B,Cyp2c54 (includes others),CYP2C8,CYP4A11,Cyp4a14,CYP7A1,DHCR7,DYNLL1,ECH1,ECI1,EHHADH,ELOVL3,ELOVL5,ETHE1,FABP2,FBXO21,FDPS,G6PC,GCK,Gsta4,GSTT2/GSTT2B,H2AZ1,HADHA,HADHB,HMGCS1,HNF4A,HSD17B10,HSD17B11,HSD3B1,IL1B,KYAT3,LAMB3,LECT2,LIPG,LPCAT3,LSS,MGLL,MOGAT1,MVK,MYC,NSDHL,Orm1 (includes others),PCK1,PDK4,PHLDA1,PMVK,PNPLA2,POR,PPA1,PTGR1,RETSAT,RFX4,RNF186,S100A8,S100A9,SAA1,SC5D,SELENBP1,SERINC2,SLC27A1,SOCS2,SORD,SREBF1,TLR2,TNF,VNN1	187 (6)
RORA	-0.624	ligand-dependent nuclear receptor	 	0.904	2.18E-13	1.46E-10	ABCG5,ACOT2,AKR1D1,Aox3,APOA4,AQP8,Ccl2,CCL3L3,CISH,CXCL10,Cyp2c54 (includes others),CYP2C8,Cyp3a25 (includes others),CYP4A11,Cyp4a14,ELOVL3,G6PC,GSTA5,GSTM2,HPGD,HSD3B1,Hsd3b4 (includes others),IGFBP1,IL18,IL1B,KCNK5,LCN2,LPIN2,LRTM1,NSDHL,PCK1,POR,PPP1R3C,RORA,S100A8,S100A9,Saa3,SDR9C7,SELENBP1,SLC15A4,SLC30A10,Slco1a1,TNF,UBE2O	311 (12)
TP53	 	transcription regulator	Inhibited	-2.944	2.93E-13	1.57E-10	ABCA2,ACADM,ACLY,ACO1,ACO2,ACSM5,ACSS2,AKR1B1,ALDOA,ASL,ATF3,BCL6B,BOK,BTG1,CARHSP1,CASP3,Ccl2,CCL3L3,CCN2,CCNG2,CD82,CEBPA,CELSR1,Chil3/Chil4,CKB,CLPP,COL3A1,COX10,CREB3,CSF1,CSNK1D,CXCL10,CXCL2,CXCL3,Cyb5r3,CYP1A1,DCK,DDIT4,DHFR,DHRS9,DLST,DNAJB2,DNAJB5,DNAJC11,DUSP1,E2F8,ECH1,EPHA2,F2R,FH,FKBP5,FLRT2,FOXA2,FOXO1,FOXO3,FZD6,GADD45A,GATA4,GATA6,GNA14,GPR12,GPR160,HADHA,HADHB,HDAC9,HMOX1,HSP90AA1,HSP90AB1,HSPB1,HSPD1,HSPH1,HYAL1,ID2,ID3,IDH1,IER3,IER5,IGFBP2,IGFBP5,IL17RA,IL1A,IL1B,INMT,IRF9,IRS1,ITGB5,KAT2B,KCNB1,KLHL21,KRT18,LDHA,LRAT,MAFB,MCAM,MEF2D,MRPL15,MRPS2,MYC,MYL9,MYO1C,NDUFS6,NID2,NLRX1,NR0B2,NR6A1,NRP1,OAT,OGDH,PDGFA,PDGFRA,PGLYRP2,PIK3CB,PIK3R5,Pmaip1,PRKAB1,PRKAR2A,PRNP,PSMD12,PSMD3,RAP2A,RBL1,RBM3,RGS12,RHOB,RUVBL2,SEC61B,SERPINA3,SERPINE1,SESN2,SGK1,SGPL1,SLC19A2,SLC2A1,SLC2A6,SLC2A9,SLC6A6,SQOR,SREBF1,SRF,STAT3,STIP1,TACC2,TBX3,TFRC,TGM2,TIMM10,TKT,Tmsb4x (includes others),TNF,TNFRSF1A,TNFRSF1B,TOB1,TOMM40,TP53INP1,Tpm4,TRIB3,TSC22D3,TXNRD3,ULK2,UNG,VASN,VEGFA,WNT5B,XPO1	315 (16)
AHR	0.818	ligand-dependent nuclear receptor	 	-0.495	5.30E-13	2.36E-10	1810008I18Rik,ARG2,ARNT,B4GALT5,CCNE1,CCNF,CD14,CDH1,CDK2,CEBPA,CELA1,CERS6,COL3A1,CXCL10,CYP1A1,CYP1A2,CYP2C8,DACT2,DCLK3,DHFR,E2F8,ENHO,EPB41L5,FGFR2,FMO2,FZD7,GADD45A,GSTA5,HDAC9,HES1,HP,Hsd3b4 (includes others),IDO2,IGFBP1,IL1B,JUNB,LDHA,NFYB,NID2,NRG4,NXPE2,OLFML1,PCK1,PDGFRA,PLA2G12A,RBL1,SAA1,Saa3,SDR9C7,SEMA3F,SERPINA7,SERPINE1,SLC16A5,SLC22A7,SLC25A51,SLC2A1,SOCS3,SREBF1,STAT3,STEAP4,TIPARP,TK1,TNF,TUBA8,UGCG,VEGFA	397 (17)
RORC	 	ligand-dependent nuclear receptor	 	 	1.51E-12	5.74E-10	ABCG5,ACOT2,AKR1D1,Aox3,APOA4,AQP8,CISH,Cyp2c54 (includes others),CYP2C8,Cyp3a25 (includes others),CYP4A11,Cyp4a14,ELOVL3,G6PC,GSTA5,GSTM2,HPGD,HSD3B1,Hsd3b4 (includes others),IGFBP1,IL1B,KCNK5,LCN2,LPIN2,LRTM1,NLRP3,NSDHL,PCK1,POR,PPP1R3C,RORA,S100A8,S100A9,SDR9C7,SELENBP1,SLC15A4,SLC30A10,Slco1a1,UBE2O	 
IL1B	4.729	cytokine	Activated	4.054	2.53E-12	8.44E-10	ABCB11,ADAMTS1,APCS,ATF3,BIRC2,CASP4,Ccl2,CSF1,Cxcl11,CXCL2,CXCL3,DDIT4,FKBP5,FOXO1,GBP6,HP,ICAM1,IL1A,IL1B,IRF1,IRS1,MAP3K8,MMP8,NFKBIZ,PHLDA1,RGS16,RORA,S100A8,SAA1,Saa3,SELE,SERPINA3,SESN1,SLC25A25,Slco1a1,SOCS3,SUCNR1,TLR2,TNF,TNFAIP3,TSC22D3,TXNIP,VEGFA	217 (15)
ACOX1	 	enzyme	Inhibited	-3.275	4.32E-12	1.28E-09	ACAA1,ACADM,ACOT2,ADAMTS1,AKR1C4,APCS,CYP1A2,Cyp2c54 (includes others),CYP2C8,Cyp3a25 (includes others),CYP4A11,Cyp4a14,CYP4F12,EHHADH,ELOVL3,ETS2,G6PC,GADD45A,HSD3B1,IGFBP1,IGFBP2,IMPACT,KLF6,LCN2,LHPP,LPCAT3,MGLL,OAT,Orm1 (includes others),PDK4,PHLDA1,RBM3,RGN,Saa3,SELENBP1,SGK1,SLC20A1,SLC22A25,TRIB3,XBP1	108 (2)
TICAM1	0.588	other	Activated	3.830	4.04E-11	1.08E-08	ACOD1,Apol7e (includes others),BCL3,CASP4,Ccl2,CCL3L3,CCRL2,CXCL10,Cxcl11,CXCL13,CXCL2,CXCL3,DUSP1,ETS2,FPR1,FPR2,ICAM1,ICOSLG/LOC102723996,IL18,IL1A,IL1B,IRF1,MEFV,Mx2,NFKB2,NFKBIZ,NOX4,PELI1,RELB,RHOB,RIPK2,SERPINE1,SOCS3,TLR2,TNF,TNFAIP3	247 (16)
