"","category","term","ontology","numDEInCat","adjp"
"134","GO:0000278","mitotic cell cycle","BP",84,2.13655630199276e-30
"19471","GO:1903047","mitotic cell cycle process","BP",77,1.02864552796959e-29
"3491","GO:0007049","cell cycle","BP",108,2.49198551877003e-29
"6857","GO:0022402","cell cycle process","BP",93,4.08596830222293e-29
"13439","GO:0051301","cell division","BP",61,2.50467036295712e-26
"18255","GO:0140014","mitotic nuclear division","BP",43,1.74186941939246e-23
"3497","GO:0007059","chromosome segregation","BP",44,1.97171670002194e-23
"12671","GO:0048285","organelle fission","BP",51,2.2043988394144e-23
"135","GO:0000280","nuclear division","BP",48,3.93749358041253e-23
"34","GO:0000070","mitotic sister chromatid segregation","BP",34,4.16644020490163e-23
"305","GO:0000819","sister chromatid segregation","BP",36,5.60144905114194e-23
"17592","GO:0098813","nuclear chromosome segregation","BP",38,2.66751974369287e-21
"13421","GO:0051276","chromosome organization","BP",67,4.0277041307356e-15
"11440","GO:0044772","mitotic cell cycle phase transition","BP",45,9.75854457937724e-15
"11438","GO:0044770","cell cycle phase transition","BP",45,1.20677246350499e-13
"4688","GO:0010564","regulation of cell cycle process","BP",49,2.89084235611391e-13
"13452","GO:0051321","meiotic cell cycle","BP",25,1.05907512810743e-11
"3456","GO:0006996","organelle organization","BP",123,9.57045063975017e-11
"13659","GO:0051726","regulation of cell cycle","BP",58,9.57045063975017e-11
"19367","GO:1902850","microtubule cytoskeleton organization involved in mitosis","BP",21,2.62446679638248e-10
"3493","GO:0007051","spindle organization","BP",23,3.66123756212856e-10
"3494","GO:0007052","mitotic spindle organization","BP",19,5.38283660149521e-10
"3639","GO:0007346","regulation of mitotic cell cycle","BP",38,9.56015373502545e-10
"15743","GO:0071103","DNA conformation change","BP",27,2.83879816033979e-09
"19031","GO:1901990","regulation of mitotic cell cycle phase transition","BP",31,3.74532689863149e-09
"19470","GO:1903046","meiotic cell cycle process","BP",19,7.55222674418325e-09
"19028","GO:1901987","regulation of cell cycle phase transition","BP",31,2.24052958116726e-08
"3511","GO:0007091","metaphase/anaphase transition of mitotic cell cycle","BP",13,2.36847950545857e-08
"4968","GO:0010965","regulation of mitotic sister chromatid separation","BP",13,2.64547490913087e-08
"11447","GO:0044784","metaphase/anaphase transition of cell cycle","BP",13,2.97469013999292e-08
"13444","GO:0051306","mitotic sister chromatid separation","BP",13,3.70867318436639e-08
"2995","GO:0006323","DNA packaging","BP",20,3.97236405615092e-08
"110","GO:0000226","microtubule cytoskeleton organization","BP",35,7.81036241986079e-08
"20796","GO:1905818","regulation of chromosome separation","BP",13,7.81036241986079e-08
"8611","GO:0033045","regulation of sister chromatid segregation","BP",13,7.81036241986079e-08
"2952","GO:0006260","DNA replication","BP",25,7.81036241986079e-08
"13791","GO:0051983","regulation of chromosome segregation","BP",14,7.81036241986079e-08
"6975","GO:0030071","regulation of mitotic metaphase/anaphase transition","BP",12,1.80780288928574e-07
"3512","GO:0007093","mitotic cell cycle checkpoint","BP",18,1.89942779443656e-07
"19075","GO:1902099","regulation of metaphase/anaphase transition of cell cycle","BP",12,2.16634838473042e-07
"3513","GO:0007094","mitotic spindle assembly checkpoint","BP",10,2.16634838473042e-07
"15768","GO:0071173","spindle assembly checkpoint","BP",10,2.16634838473042e-07
"15769","GO:0071174","mitotic spindle checkpoint","BP",10,2.16634838473042e-07
"13442","GO:0051304","chromosome separation","BP",14,2.16634838473042e-07
"15241","GO:0070192","chromosome organization involved in meiotic cell cycle","BP",11,2.56430674847415e-07
"7742","GO:0031577","spindle checkpoint","BP",10,2.95645960345798e-07
"11861","GO:0045841","negative regulation of mitotic metaphase/anaphase transition","BP",10,3.79845934582501e-07
"8612","GO:0033046","negative regulation of sister chromatid segregation","BP",10,4.30698749620973e-07
"8614","GO:0033048","negative regulation of mitotic sister chromatid segregation","BP",10,4.30698749620973e-07
"21696","GO:2000816","negative regulation of mitotic sister chromatid separation","BP",10,4.30698749620973e-07
"19076","GO:1902100","negative regulation of metaphase/anaphase transition of cell cycle","BP",10,4.9734476834359e-07
"13793","GO:0051985","negative regulation of chromosome segregation","BP",10,5.67490195942717e-07
"20797","GO:1905819","negative regulation of chromosome separation","BP",10,5.67490195942717e-07
"18254","GO:0140013","meiotic nuclear division","BP",16,5.67490195942717e-07
"8613","GO:0033047","regulation of mitotic sister chromatid segregation","BP",10,9.95699529939097e-07
"11859","GO:0045839","negative regulation of mitotic nuclear division","BP",10,1.734614878198e-06
"35","GO:0000075","cell cycle checkpoint","BP",19,2.14734462661937e-06
"7098","GO:0030261","chromosome condensation","BP",9,3.92855001487842e-06
"4953","GO:0010948","negative regulation of cell cycle process","BP",23,4.44019829649154e-06
"13684","GO:0051784","negative regulation of nuclear division","BP",10,4.44019829649154e-06
"15929","GO:0071459","protein localization to chromosome, centromeric region","BP",8,4.81159793049392e-06
