© 2000-2021 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Estrogen Receptor Signaling	7.35E00	5.29E-02	NaN	ADCY4,BCL2,CACNA2D1,CACNB1,CACNB3,CTBP2,DLG4,GNA14,GNG11,GNG2,IGF1R,MT-ATP6,MT-CYB,MT-ND1,MT-ND2,MT-ND4,MT-ND4L,PIK3CG,PRKCH,RUNX2,SNAI1	
Natural Killer Cell Signaling	5.91E00	6.74E-02	NaN	CD247,COL11A2,COL1A2,KLRB1,LCK,MAP3K12,MAPK12,NCR3,PIK3CG,RAC2,ULBP1,WIPF1,ZAP70	
Primary Immunodeficiency Signaling	5.63E00	1.46E-01	NaN	CD3D,CD3E,IGHM,IL2RG,LCK,PTPRC,ZAP70	
Opioid Signaling Pathway	5.61E00	5.49E-02	NaN	ADCY4,CACNA2D1,CACNB1,CACNB3,GNA14,GNG11,GNG2,LCK,MAPK12,PIK3CG,PRKCH,RAC2,RGS11,RGS5,TCF4	
CCR5 Signaling in Macrophages	5.57E00	5.45E-02	NaN	CACNA2D1,CACNB1,CACNB3,CCL5,CD247,CD3D,CD3E,CD3G,GNA14,GNG11,GNG2,MAPK12,PRKCH,TRBC1,TRBC2	
Tec Kinase Signaling	5.52E00	4.83E-02	NaN	CD247,CD3D,CD3E,CD3G,GNA14,GNG11,GNG2,ITGA11,ITGA4,LCK,MAPK12,PIK3CG,PRKCH,RAC2,TNFRSF25,TRBC1,TRBC2	
Mitochondrial Dysfunction	5.07E00	6.71E-02	NaN	BCL2,CPT1C,MAPK12,MT-ATP6,MT-CO2,MT-CO3,MT-CYB,MT-ND1,MT-ND2,MT-ND4,MT-ND4L	
Ephrin Receptor Signaling	5E00	6.03E-02	NaN	CXCL12,EFNB2,EPHA3,GNA14,GNG11,GNG2,ITGA11,ITGA4,PIK3CG,RAC2,SH2D3C,WIPF1	
Thrombin Signaling	4.87E00	5.85E-02	NaN	ADCY4,ARHGEF3,F2R,F2RL2,GATA2,GNA14,GNG11,GNG2,MAPK12,PIK3CG,PRKCH,RAC2	
SAPK/JNK Signaling	4.83E00	5.02E-02	NaN	CD247,CD3D,CD3E,CD3G,GNG11,GNG2,LCK,MAP3K12,MAP4K1,MAPK12,PIK3CG,RAC2,TRBC1,TRBC2	
Phospholipase C Signaling	4.8E00	4.08E-02	NaN	ADCY4,ARHGEF3,CD247,CD3D,CD3E,CD3G,GNG11,GNG2,IGHM,ITGA11,ITGA4,LCK,MEF2C,PRKCH,RAC2,TRBC1,TRBC2,ZAP70	
Cardiac Hypertrophy Signaling	4.63E00	5.14E-02	NaN	ADCY4,CACNA2D1,CACNB1,CACNB3,GNA14,GNG11,GNG2,IGF1R,MAP3K12,MAPK12,MEF2C,PIK3CG,RAC2	
PKCθ Signaling in T Lymphocytes	4.61E00	4.53E-02	NaN	CACNA2D1,CACNB1,CACNB3,CARD11,CD247,CD3D,CD3E,CD3G,LCK,MAP3K12,PIK3CG,RAC2,TRBC1,TRBC2,ZAP70	
CREB Signaling in Neurons	4.61E00	3.55E-02	NaN	ADCY4,ADGRL1,CACNA2D1,CACNB1,CACNB3,CYSLTR2,F2R,F2RL2,FLT4,GABBR1,GNA14,GNG11,GNG2,GPR35,HGF,IGF1R,LPAR2,LPAR6,PIK3CG,PRKCH,S1PR4	
GABA Receptor Signaling	4.35E00	6.92E-02	NaN	ADCY4,CACNA2D1,CACNB1,CACNB3,GABBR1,GABRE,GNA14,GNG11,GNG2	
